OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,36,TELANGANA,1,ADILABAD,8,Boath (ST),1,ADILABAD(ST),2801,,2.54234789489,0.17532233597,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:8
1,36,TELANGANA,1,ADILABAD,7,Adilabad,1,ADILABAD(ST),2801,,1.36657691216,0.07786586663,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:7
1,36,TELANGANA,1,ADILABAD,5,Asifabad (ST),1,ADILABAD(ST),2801,,3.24835354437,0.23840880079,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:5
1,36,TELANGANA,1,ADILABAD,1,Sirpur,1,ADILABAD(ST),2801,,2.13377421045,0.18143503808,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:1
1,36,TELANGANA,1,ADILABAD,6,Khanapur (ST),1,ADILABAD(ST),2801,,2.34778943991,0.18080650128,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:6
1,36,TELANGANA,1,ADILABAD,10,Mudhole,1,ADILABAD(ST),2801,,2.07530327804,0.12973298259,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:10
1,36,TELANGANA,1,ADILABAD,9,Nirmal,1,ADILABAD(ST),2801,,1.69659336146,0.09940010867,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:9
2,36,TELANGANA,1,ADILABAD,3,Bellampalle (SC),2,PEDDAPALLE (SC),2802,,2.29157788414,0.11983376007,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:3
2,36,TELANGANA,1,ADILABAD,4,Mancherial,2,PEDDAPALLE (SC),2802,,1.43686989176,0.05937023218,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:4
4,36,TELANGANA,3,KARIMNAGAR,21,Jagtial,4,NIZAMABAD,2804,,1.24706297789,0.0672827198,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:21
2,36,TELANGANA,3,KARIMNAGAR,22,Dharmapuri (SC),2,PEDDAPALLE (SC),2802,,1.59391115391,0.08179072126,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:22
2,36,TELANGANA,1,ADILABAD,2,Chennur (SC),2,PEDDAPALLE (SC),2802,,2.13273631597,0.12174350321,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:2
4,36,TELANGANA,3,KARIMNAGAR,20,Koratla,4,NIZAMABAD,2804,,1.11777460095,0.0542367581,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:20
4,36,TELANGANA,2,NIZAMABAD,11,Armur,4,NIZAMABAD,2804,,1.18429822793,0.05778698916,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:11
4,36,TELANGANA,2,NIZAMABAD,19,Balkonda,4,NIZAMABAD,2804,,1.52333468901,0.0818268027,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:19
4,36,TELANGANA,2,NIZAMABAD,12,Bodhan,4,NIZAMABAD,2804,,1.37327129211,0.05712803012,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:12
3,36,TELANGANA,3,KARIMNAGAR,28,Vemulawada,3,KARIMNAGAR,2803,,1.6628385264,0.08340383675,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:28
2,36,TELANGANA,3,KARIMNAGAR,24,Manthani,2,PEDDAPALLE (SC),2802,,3.63361050518,0.20773492455,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:24
2,36,TELANGANA,3,KARIMNAGAR,23,Ramagundam,2,PEDDAPALLE (SC),2802,,0.80127964507,0.03004939996,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:23
4,36,TELANGANA,2,NIZAMABAD,18,Nizamabad (Rural),4,NIZAMABAD,2804,,2.44718931588,0.11863705506,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:18
3,36,TELANGANA,3,KARIMNAGAR,27,Choppadandi (SC),3,KARIMNAGAR,2803,,1.57493951711,0.08009343374,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:27
4,36,TELANGANA,2,NIZAMABAD,17,Nizamabad (Urban),4,NIZAMABAD,2804,,0.28904920749,0.00467457356,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:17
5,36,TELANGANA,2,NIZAMABAD,14,Banswada,5,ZAHIRABAD,2805,,1.25152143128,0.07030415865,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:14
2,36,TELANGANA,3,KARIMNAGAR,25,Peddapalle,2,PEDDAPALLE (SC),2802,,1.27955865091,0.07860957741,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:25
16,36,TELANGANA,10,KHAMMAM,119,Bhadrachalam (ST),16,MAHABUBABAD(ST),2816,,5.23096963525,0.35329665611,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:119
5,36,TELANGANA,2,NIZAMABAD,13,Jukkal (SC),5,ZAHIRABAD,2805,,1.9599931193,0.09260400424,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:13
16,36,TELANGANA,9,WARANGAL,109,Mulug (ST),16,MAHABUBABAD(ST),2816,,3.7745394845,0.33582468843,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:109
3,36,TELANGANA,3,KARIMNAGAR,29,Sircilla,3,KARIMNAGAR,2803,,1.40172455999,0.07195842512,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:29
5,36,TELANGANA,2,NIZAMABAD,15,Yellareddy,5,ZAHIRABAD,2805,,2.37821049564,0.13452236054,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:15
