OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,36,TELANGANA,1,ADILABAD,8,Boath (ST),Boath,Q4931521,1,ADILABAD(ST),2801,,2.54234789489,0.17532233597,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:8
1,36,TELANGANA,1,ADILABAD,7,Adilabad,Adliabad,Q779465,1,ADILABAD(ST),2801,,1.36657691216,0.07786586663,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:7
1,36,TELANGANA,1,ADILABAD,5,Asifabad (ST),Asifabad (Assembly constituency),Q12991356,1,ADILABAD(ST),2801,,3.24835354437,0.23840880079,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:5
1,36,TELANGANA,1,ADILABAD,1,Sirpur,Sirpur,Q778154,1,ADILABAD(ST),2801,,2.13377421045,0.18143503808,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:1
1,36,TELANGANA,1,ADILABAD,6,Khanapur (ST),Khanapur,Q6400165,1,ADILABAD(ST),2801,,2.34778943991,0.18080650128,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:6
1,36,TELANGANA,1,ADILABAD,10,Mudhole,Mudhole,Q6931770,1,ADILABAD(ST),2801,,2.07530327804,0.12973298259,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:10
1,36,TELANGANA,1,ADILABAD,9,Nirmal,Nirmal,Q778170,1,ADILABAD(ST),2801,,1.69659336146,0.09940010867,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:9
2,36,TELANGANA,1,ADILABAD,3,Bellampalle (SC),Bellampalli,Q55724494,2,PEDDAPALLE (SC),2802,,2.29157788414,0.11983376007,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:3
2,36,TELANGANA,1,ADILABAD,4,Mancherial,Mancherial,Q6747215,2,PEDDAPALLE (SC),2802,,1.43686989176,0.05937023218,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:4
4,36,TELANGANA,3,KARIMNAGAR,21,Jagtial,Jagtial,Q25203369,4,NIZAMABAD,2804,,1.24706297789,0.0672827198,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:21
2,36,TELANGANA,3,KARIMNAGAR,22,Dharmapuri (SC),Dharmapuri,Q5269298,2,PEDDAPALLE (SC),2802,,1.59391115391,0.08179072126,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:22
2,36,TELANGANA,1,ADILABAD,2,Chennur (SC),Chennur,Q5091514,2,PEDDAPALLE (SC),2802,,2.13273631597,0.12174350321,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:2
4,36,TELANGANA,3,KARIMNAGAR,20,Koratla,Koratla,Q6431440,4,NIZAMABAD,2804,,1.11777460095,0.0542367581,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:20
4,36,TELANGANA,2,NIZAMABAD,11,Armur,Armur,Q4794040,4,NIZAMABAD,2804,,1.18429822793,0.05778698916,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:11
4,36,TELANGANA,2,NIZAMABAD,19,Balkonda,Balkonda,Q4851140,4,NIZAMABAD,2804,,1.52333468901,0.0818268027,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:19
4,36,TELANGANA,2,NIZAMABAD,12,Bodhan,Bodhan,Q4936522,4,NIZAMABAD,2804,,1.37327129211,0.05712803012,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:12
3,36,TELANGANA,3,KARIMNAGAR,28,Vemulawada,Vemulawada,Q7919502,3,KARIMNAGAR,2803,,1.6628385264,0.08340383675,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:28
2,36,TELANGANA,3,KARIMNAGAR,24,Manthani,Manthani,Q6752061,2,PEDDAPALLE (SC),2802,,3.63361050518,0.20773492455,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:24
2,36,TELANGANA,3,KARIMNAGAR,23,Ramagundam,Ramagundam,Q7288752,2,PEDDAPALLE (SC),2802,,0.80127964507,0.03004939996,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:23
4,36,TELANGANA,2,NIZAMABAD,18,Nizamabad (Rural),Nizamabad Rural,Q7042120,4,NIZAMABAD,2804,,2.44718931588,0.11863705506,country:in/state:tg,TG,country:in/state:ap/assembly-constituency:18
