Region,Country,Position,HoG,Language,Count,Name Original,Name Original Titlecase,Name,Title,Electoral District,qid,Mismatch,WD name,Alias,Notes,URL on legislature website,Facebook Profile ID,Parliamentary Group (Party),Parliamentary group colour(s),Parliamentary group official website URL,Parliamentary group date of founding
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,1,PRADYUMANSINH MAHIPATSINH JADEJA,Pradyumansinh Mahipatsinh Jadeja,Pradyumansinh Mahipatsinh Jadeja,,Abdasa,Q13115448,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,2,VIRENDRASINH BAHADURSINH JADEJA,Virendrasinh Bahadursinh Jadeja,Virendrasinh Bahadursinh Jadeja,,Mandvi (Kutch),Q13119825,false,,Mandvi,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,3,NIMABEN BHAVESHBHAI ACHARYA,Nimaben Bhaveshbhai Acharya,Nimaben Bhaveshbhai Acharya,,Bhuj,Q18357911,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,4,VASANBHAI GOPALBHAI AHIR,Vasanbhai Gopalbhai Ahir,Vasanbhai Gopalbhai Ahir,,Anjar,Q6959817,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,5,MALTI KISHOR MAHESHWARI,Malti Kishor Maheshwari,Malti Kishor Maheshwari,,Gandhidham,Q18124992,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,6,SANTOKBEN BHACHUBHAI AARETHIYA,Santokben Bhachubhai Aarethiya,Santokben Bhachubhai Aarethiya,,Rapar,Q18393490,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,7,GENIBEN NAGAJI THAKOR,Geniben Nagaji Thakor,Geniben Nagaji Thakor,,Vav,Q13121039,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,8,PARBATBHAI SAVABHAI PATEL,Parbatbhai Savabhai Patel,Parbatbhai Savabhai Patel,,Tharad,Q18389035,false,,,,,,Bharatiya Janata Party,,http://www.bjp.org/,6 April 1980
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,9,NATHUBHAI HEGOLABHAI PATEL,Nathubhai Hegolabhai Patel,Nathubhai Hegolabhai Patel,,Dhanera,Q18111750,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
Gujarat,India,Member of the Gujarat Legislative Assembly,false,English,10,KANTIBHAI KALABHAI KHARADI,Kantibhai Kalabhai Kharadi,Kantibhai Kalabhai Kharadi,,Danta,Q18111541,false,,,,,,Indian National Congress,,https://www.inc.in/en,28 December 1885
