OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
0,24,GUJARAT,1,KACHCHH,0,,0,,2400,,25.143970714,1.90681588494,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:0
2,24,GUJARAT,2,BANAS KANTHA,8,Tharad,2,BANASKANTHA,2402,,1.88774298623,0.12252522101,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:8
2,24,GUJARAT,2,BANAS KANTHA,7,Vav,2,BANASKANTHA,2402,,4.44508460663,0.19194988886,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:7
2,24,GUJARAT,2,BANAS KANTHA,9,Dhanera,2,BANASKANTHA,2402,,2.75278997419,0.11303236295,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:9
2,24,GUJARAT,2,BANAS KANTHA,10,Danta (ST),2,BANASKANTHA,2402,,2.22472196743,0.14185491992,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:10
2,24,GUJARAT,2,BANAS KANTHA,14,Deodar,2,BANASKANTHA,2402,,1.78992726414,0.10028074695,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:14
2,24,GUJARAT,2,BANAS KANTHA,13,Deesa,2,BANASKANTHA,2402,,1.53337362789,0.06306467226,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:13
5,24,GUJARAT,5,SABAR KANTHA,29,Khedbrahma(ST),5,SABARKANTHA,2405,,2.92798311726,0.11861205558,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:29
2,24,GUJARAT,2,BANAS KANTHA,12,Palanpur,2,BANASKANTHA,2402,,1.42391474459,0.0505548439,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:12
3,24,GUJARAT,2,BANAS KANTHA,11,Vadgam (SC),3,PATAN,2403,,1.57203359773,0.07309360868,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:11
3,24,GUJARAT,2,BANAS KANTHA,15,Kankrej,3,PATAN,2403,,2.41054282314,0.09643457916,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:15
1,24,GUJARAT,1,KACHCHH,3,Bhuj,1,KACHCHH (SC),2401,,7.50718727086,0.32645681099,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:3
3,24,GUJARAT,3,PATAN  *,19,Sidhpur,3,PATAN,2403,,1.65839561336,0.05707210506,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:19
1,24,GUJARAT,1,KACHCHH,1,Abdasa,1,KACHCHH (SC),2401,,4.95654453002,0.55479401913,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:1
3,24,GUJARAT,3,PATAN  *,18,Patan,3,PATAN,2403,,1.9013857641,0.06572112806,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:18
3,24,GUJARAT,3,PATAN  *,16,Radhanpur,3,PATAN,2403,,3.75763625232,0.23188865299,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:16
3,24,GUJARAT,4,MAHESANA,20,Kheralu,3,PATAN,2403,,1.61164672458,0.07144374628,country:in/state:gj,GJ,country:in/state:gj/assembly-constituency:20
