Region,Country,Electoral District,qid
Gujarat,India,Naroda,Q18128517
Gujarat,India,Naranpura,Q18128512
Gujarat,India,Asarwa,Q18109834
Gujarat,India,Danilimda,Q18111537
Gujarat,India,Sabarmati,Q18391847
Gujarat,India,Jamalpur-Khadiya,Q18126194
Gujarat,India,Maninagar,Q17071864
Gujarat,India,Amraiwadi,Q18109619
Gujarat,India,Katargam,Q18387225
Gujarat,India,Dariapur,Q18111558
Gujarat,India,Surat Pashchim,Q18386516
Gujarat,India,Thakkarbapa Nagar,Q18388952
Gujarat,India,Udhana,Q18394917
Gujarat,India,Bapunagar,Q18110233
Gujarat,India,Majura,Q18356281
Gujarat,India,Karanj,Q18387012
Gujarat,India,Limbayat,Q18353951
Gujarat,India,Surat Uttar,Q18386521
Gujarat,India,Varachha Marg,Q18358284
Gujarat,India,Nikol,Q18128729
