Name,MS_FB,MS_FB_PARE,CITY_WIKID,WIKIDATA,MCNAME
ahmedabad,country:in/state:gj/municipality:ahmedabad,country:in/state:gj,Q1070,Q58954348,Ahmedabad Municipal Corporation area
bengaluru,country:in/state:ka/municipality:bengaluru,country:in/state:ka,Q1355,Q58954410,Bruhat Bengaluru Mahanagara Palike area
bhopal,country:in/state:mp/municipality:bhopal,country:in/state:mp,Q80989,Q58954455,Bhopal Municipal Corporation area
bhubaneswar,country:in/state:or/municipality:bhubaneswar,country:in/state:or,Q171771,Q58954471,Bhubhaneshwar Municipal Corporation area
chennai,country:in/state:tn/municipality:chennai,country:in/state:tn,Q1352,Q58954487,Corporation of Chennai area
coimbatore,country:in/state:tn/municipality:coimbatore,country:in/state:tn,Q9885,Q58954505,Coimbatore City Municipal Corporation area
faridabad,country:in/state:hr/municipality:faridabad,country:in/state:hr,Q200663,Q58954557,Municipal Corporation of Faridabad area
gaya,country:in/state:br/municipality:gaya,country:in/state:br,Q251329,Q58954582,Gaya Municipal Corporation area
jaipur,country:in/state:rj/municipality:jaipur,country:in/state:rj,Q66485,Q58954626,Jaipur Municipal Corporation area
navi mumbai,country:in/state:mh/municipality:navi_mumbai,country:in/state:mh,Q61445,Q58954790,Navi Mumbai Municipal Corporation area
pune,country:in/state:mh/municipality:pune,country:in/state:mh,Q1538,Q58954831,Pune Municipal Corporation area
purnia,country:in/state:br/municipality:purnia,country:in/state:br,Q1771762,Q58954834,Purnea Municipal Corporation area
vijayawada,country:in/state:ap/municipality:vijayawada,country:in/state:ap,Q200017,Q58954959,Vijayawada Municipal Corporation area
North Delhi,country:in/territory:dl/municipality:north-delhi,country:in/territory:dl,Q58481532,Q58481532,North Delhi
East Delhi,country:in/territory:dl/municipality:east-delhi,country:in/territory:dl,Q58481534,Q58481534,East Delhi
South Dehli,country:in/territory:dl/municipality:south-delhi,country:in/territory:dl,Q58481533,Q58481533,South Delhi
Chandigarh,country:in/municipality:chandigarh,country:in,Q43433,Q58954483,Municipal Corporation Chandigarh area
hyderabad,country:in/state:tg/municipality:hyderabad,country:in/state:tg,Q1361,Q58954617,Greater Hyderabad Municipal Corporation area
mumbai,country:in/state:mh/municipality:mumbai,country:in/state:mh,Q1156,Q58954772,Brihanmumbai Municipal Corporation area
Pimpri-Chinchwad,country:in/state:mh/municipality:pimpri-chinchwad,country:in/state:mh,Q119219,Q58954827,Pimpri-Chinchwad Municipal Corporation area
