OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB,NAME_HI
1,13,NAGALAND,1,MON,41,Tizit,Tizit,Q55594014,1,NAGALAND,1301,Pre delimitation,1.38185405314,0.05584479387,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:41,
1,13,NAGALAND,1,MON,43,Tapi,Tapi,Q55594016,1,NAGALAND,1301,Pre delimitation,1.05615692627,0.03038727861,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:43,
1,13,NAGALAND,1,MON,42,Wakching,Wakching,Q55594015,1,NAGALAND,1301,Pre delimitation,0.98030324467,0.01882835726,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:42,
1,13,NAGALAND,2,TUENSANG,49,Tamlu,Tamlu,Q55594022,1,NAGALAND,1301,Pre delimitation,1.13329626994,0.02189855907,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:49,
1,13,NAGALAND,3,MOKOKCHUNG,21,Tuli,Tuli,Q55593995,1,NAGALAND,1301,Pre delimitation,0.96598888462,0.02239653004,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:21,
1,13,NAGALAND,1,MON,44,Phomching,Phomching,Q55594017,1,NAGALAND,1301,Pre delimitation,0.3569727145,0.00728123981,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:44,
1,13,NAGALAND,1,MON,46,Mon Town,Mon Town,Q55594019,1,NAGALAND,1301,Pre delimitation,0.4921237861,0.01195692632,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:46,
1,13,NAGALAND,1,MON,47,Aboi,Aboi,Q55594020,1,NAGALAND,1301,Pre delimitation,0.66470290668,0.01686899692,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:47,
1,13,NAGALAND,3,MOKOKCHUNG,30,Alungtaki,Alongtaki,Q55594004,1,NAGALAND,1301,Pre delimitation,1.1112868591,0.03117957984,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:30,
1,13,NAGALAND,1,MON,45,Tehok,Tehok,Q55594018,1,NAGALAND,1301,Pre delimitation,0.58077434956,0.01110056975,country:in/state:nl,NL,country:in/state:nl/assembly-constituency:45,
