OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
7,29,KARNATAKA,5,BIDAR,52,Aurad (SC),Aurad,Q48726816,7,BIDAR,2907,,2.2347983891,0.10606791387,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:52
7,29,KARNATAKA,5,BIDAR,51,Bhalki,Bhalki,Q55434943,7,BIDAR,2907,,2.05978134943,0.09540904771,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:51
7,29,KARNATAKA,5,BIDAR,50,Bidar,Bidar,Q55434942,7,BIDAR,2907,,1.14975434918,0.02916124593,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:50
7,29,KARNATAKA,5,BIDAR,47,Basavakalyan,Basavakalyan,Q55434939,7,BIDAR,2907,,2.13110363604,0.08503688759,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:47
7,29,KARNATAKA,5,BIDAR,49,Bidar South,Bidar South,Q55434941,7,BIDAR,2907,,1.75841246172,0.07133878411,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:49
7,29,KARNATAKA,5,BIDAR,48,Homnabad,Homnabad,Q55434940,7,BIDAR,2907,,1.6424657447,0.07900334734,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:48
7,29,KARNATAKA,4,GULBARGA,46,Aland,Aland (Vidhan Sabha constituency),Q47468171,7,BIDAR,2907,,2.06040447482,0.11557454364,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:46
5,29,KARNATAKA,4,GULBARGA,43,Gulbarga Rural(SC),Gulbarga Rural,Q30599617,5,GULBARGA (SC),2905,,2.72272788991,0.11899214097,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:43
7,29,KARNATAKA,4,GULBARGA,42,Chincholi (SC),Chincholi,Q55434933,7,BIDAR,2907,,2.65606437222,0.13343541548,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:42
4,29,KARNATAKA,3,BIJAPUR,31,Nagthan (SC),Nagthan,Q55434922,4,BIJAPUR (SC),2904,,3.74905906117,0.12590806403,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:31
5,29,KARNATAKA,4,GULBARGA,44,Gulbarga Dakshin,Gulbarga Dakshin,Q55434936,5,GULBARGA (SC),2905,,1.13635693611,0.03032466192,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:44
5,29,KARNATAKA,4,GULBARGA,40,Chittapur (SC),Chittapur,Q48726813,5,GULBARGA (SC),2905,,2.61807561257,0.11020401524,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:40
5,29,KARNATAKA,4,GULBARGA,41,Sedam,Sedam,Q55434932,5,GULBARGA (SC),2905,,2.14420070886,0.11482029783,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:41
5,29,KARNATAKA,4,GULBARGA,45,Gulbarga Uttar,Gulbarga Uttar,Q55434937,5,GULBARGA (SC),2905,,0.45751935927,0.00547384698,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:45
5,29,KARNATAKA,4,GULBARGA,34,Afzalpur,Afzalpur,Q55434927,5,GULBARGA (SC),2905,,3.32809226217,0.14551815672,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:34
4,29,KARNATAKA,3,BIJAPUR,32,Indi,Indi,Q55434925,4,BIJAPUR (SC),2904,,2.18359756003,0.12385423026,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:32
4,29,KARNATAKA,3,BIJAPUR,33,Sindgi,Sindgi,Q55434926,4,BIJAPUR (SC),2904,,2.77599321549,0.12718606759,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:33
5,29,KARNATAKA,4,GULBARGA,35,Jevargi,Jevargi,Q55434928,5,GULBARGA (SC),2905,,2.98450465869,0.15654668687,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:35
4,29,KARNATAKA,3,BIJAPUR,29,Babaleshwar,Babaleshwar,Q55434920,4,BIJAPUR (SC),2904,,2.73516717798,0.14404980239,country:in/state:ka,KA,country:in/state:ka/assembly-constituency:29
