ST_NM,TYPE,MS_FB,MS_FB_PARE,WIKIDATA,NAME_HI
Andaman and Nicobar Islands,Union Territory,country:in/territory:an,country:in,Q40888,अण्डमान और निकोबार द्वीपसमूह
Chandigarh,Union Territory,country:in/territory:ch,country:in,Q43433,चण्डीगढ़
Daman and Diu,Union Territory,country:in/territory:dd,country:in,Q66710,दमन और दीव
Dadra and Nagar Haveli,Union Territory,country:in/territory:dn,country:in,Q46107,दादर और नागर हवेली
Lakshadweep,Union Territory,country:in/territory:ld,country:in,Q26927,लक्षद्वीप
