OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
21,28,ANDHRA PRADESH,12,VIZIANAGARAM,138,Srungavarapukota,Q7586581,21,VISAKHAPATNAM,2821,,1.951988611110000,0.055554518310000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:138
20,28,ANDHRA PRADESH,12,VIZIANAGARAM,137,Vizianagaram,Q7938016,20,VIZIANAGARAM,2820,,0.589676249710000,0.011071658070000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:137
20,28,ANDHRA PRADESH,12,VIZIANAGARAM,136,Nellimarla,Q6990177,20,VIZIANAGARAM,2820,,1.368049928590000,0.045839180760000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:136
22,28,ANDHRA PRADESH,13,VISAKHAPATNAM,153,Narsipatnam,Q6966393,22,ANAKAPALLE,2822,,2.085885864880000,0.065546082590000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:153
21,28,ANDHRA PRADESH,13,VISAKHAPATNAM,142,Visakhapatnam North,Q7935584,21,VISAKHAPATNAM,2821,,0.213525929260000,0.001610433680000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:142
22,28,ANDHRA PRADESH,13,VISAKHAPATNAM,149,Anakapalle,Q4750966,22,ANAKAPALLE,2822,,0.910341702020000,0.026669738100000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:149
22,28,ANDHRA PRADESH,13,VISAKHAPATNAM,145,Chodavaram,Q5103764,22,ANAKAPALLE,2822,,1.469190010210000,0.054191242070000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:145
22,28,ANDHRA PRADESH,13,VISAKHAPATNAM,150,Pendurthi,Q7162535,22,ANAKAPALLE,2822,,1.635013761390000,0.046224098330000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:150
18,28,ANDHRA PRADESH,14,EAST GODAVARI,172,Rampachodavaram,Q7289992,18,ARAKU (ST),2818,,3.776642581380000,0.341922334550000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:172
22,28,ANDHRA PRADESH,13,VISAKHAPATNAM,152,Payakaraopet (SC),Q7156645,22,ANAKAPALLE,2822,,1.627726296290000,0.063074947430000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:152
22,28,ANDHRA PRADESH,13,VISAKHAPATNAM,151,Yelamanchili,Q8051436,22,ANAKAPALLE,2822,,1.112309445880000,0.041142011710000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:151
21,28,ANDHRA PRADESH,13,VISAKHAPATNAM,144,Gajuwaka,Q5517638,21,VISAKHAPATNAM,2821,,0.328785837820000,0.005376503660000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:144
21,28,ANDHRA PRADESH,13,VISAKHAPATNAM,141,Visakhapatnam South,Q7935586,21,VISAKHAPATNAM,2821,,0.189634417640000,0.000969428080000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:141
21,28,ANDHRA PRADESH,13,VISAKHAPATNAM,140,Visakhapatnam East,Q7935581,21,VISAKHAPATNAM,2821,,0.157858454620000,0.000831355930000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:140
21,28,ANDHRA PRADESH,13,VISAKHAPATNAM,143,Visakhapatnam West,Q7935587,21,VISAKHAPATNAM,2821,,0.263459692210000,0.002877105110000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:143
23,28,ANDHRA PRADESH,14,EAST GODAVARI,155,Prathipadu,Q7238665,23,KAKINADA,2823,,1.302387291350000,0.054653241280000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:155
27,28,ANDHRA PRADESH,15,WEST GODAVARI,186,Polavaram,Q13003272,27,ELURU,2827,,3.056822540030000,0.142773784240000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:186
23,28,ANDHRA PRADESH,14,EAST GODAVARI,154,Tuni,Q7853088,23,KAKINADA,2823,,1.594784281630000,0.060586148240000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:154
25,28,ANDHRA PRADESH,14,EAST GODAVARI,159,Anaparthy,Q4751511,25,RAJAHMUNDRY,2825,,1.295521299970000,0.038966176010000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:159
25,28,ANDHRA PRADESH,14,EAST GODAVARI,169,Rajahmundry City,Q7285648,25,RAJAHMUNDRY,2825,,0.369747801220000,0.005945964070000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:169
29,28,ANDHRA PRADESH,16,KRISHNA,188,Tiruvuru (SC)(Assembly constituency),Q16880765,29,VIJAYAWADA,2829,,1.739683787400000,0.067356163960000,country:in/state:ap,AP,country:in/state:ap/assembly-constituency:188
