OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
5,21,ORISSA,7,MAYURBHANJ,28,Rairangpur (st),Q15725101,5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,country:in/state:or,OR,country:in/state:or/assembly-constituency:28
2,21,ORISSA,5,SUNDARGARH,8,Talsara (st),Q15550094,2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,country:in/state:or,OR,country:in/state:or/assembly-constituency:8
2,21,ORISSA,5,SUNDARGARH,10,Biramitrapur (st),Q15548219,2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,country:in/state:or,OR,country:in/state:or/assembly-constituency:10
5,21,ORISSA,7,MAYURBHANJ,27,Saraskana (st),Q15725327,5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,country:in/state:or,OR,country:in/state:or/assembly-constituency:27
2,21,ORISSA,5,SUNDARGARH,13,Rajgangpur (st),Q15725105,2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,country:in/state:or,OR,country:in/state:or/assembly-constituency:13
2,21,ORISSA,5,SUNDARGARH,12,Rourkela,Q15548147,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,country:in/state:or,OR,country:in/state:or/assembly-constituency:12
5,21,ORISSA,7,MAYURBHANJ,29,Bangriposi (st),Q15719382,5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,country:in/state:or,OR,country:in/state:or/assembly-constituency:29
2,21,ORISSA,5,SUNDARGARH,11,Raghunathpali (sc),Q15548175,2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,country:in/state:or,OR,country:in/state:or/assembly-constituency:11
5,21,ORISSA,7,MAYURBHANJ,26,Jashipur (st),Q15720459,5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,country:in/state:or,OR,country:in/state:or/assembly-constituency:26
2,21,ORISSA,5,SUNDARGARH,9,Sundargarh (st),Q15549730,2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,country:in/state:or,OR,country:in/state:or/assembly-constituency:9
3,21,ORISSA,3,SAMBALPUR,15,Kuchinda (st),Q15614867,3,SAMBALPUR,2103,,3.416529309,0.19502294301,country:in/state:or,OR,country:in/state:or/assembly-constituency:15
4,21,ORISSA,6,KENDUJHAR,25,Champua,Q15706590,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,country:in/state:or,OR,country:in/state:or/assembly-constituency:25
5,21,ORISSA,7,MAYURBHANJ,34,Morada,Q15725054,5,MAYURBHANJ (ST),2105,,2.17515560128,0.0793518347,country:in/state:or,OR,country:in/state:or/assembly-constituency:34
2,21,ORISSA,5,SUNDARGARH,14,Bonai (st),Q15532118,2,SUNDARGARH (ST),2102,,3.07142060274,0.2890720195,country:in/state:or,OR,country:in/state:or/assembly-constituency:14
5,21,ORISSA,7,MAYURBHANJ,33,Baripada (st),Q15719718,5,MAYURBHANJ (ST),2105,,1.99240308064,0.05130231133,country:in/state:or,OR,country:in/state:or/assembly-constituency:33
6,21,ORISSA,8,BALESHWAR,35,Jaleswar,Q15724147,6,BALASORE,2106,,1.54363294463,0.04352318056,country:in/state:or,OR,country:in/state:or/assembly-constituency:35
1,21,ORISSA,2,JHARSUGUDA  *,7,Jharsuguda,Q15521654,1,BARGARH,2101,,1.56734318384,0.08391059837,country:in/state:or,OR,country:in/state:or/assembly-constituency:7
4,21,ORISSA,6,KENDUJHAR,24,Keonjhar (st),Q15706611,4,KEONJHAR (ST),2104,,2.30034389086,0.09235723405,country:in/state:or,OR,country:in/state:or/assembly-constituency:24
4,21,ORISSA,6,KENDUJHAR,23,Patna (st),Q15708899,4,KEONJHAR (ST),2104,,2.31802725995,0.10309037927,country:in/state:or,OR,country:in/state:or/assembly-constituency:23
4,21,ORISSA,7,MAYURBHANJ,30,Karanjia (st),Q15722744,4,KEONJHAR (ST),2104,,3.15945493084,0.16891162162,country:in/state:or,OR,country:in/state:or/assembly-constituency:30
1,21,ORISSA,2,JHARSUGUDA  *,6,Brajarajnagar,Q15521143,1,BARGARH,2101,,2.0740379374,0.10099132798,country:in/state:or,OR,country:in/state:or/assembly-constituency:6
6,21,ORISSA,7,MAYURBHANJ,32,Badasahi (sc),Q15719792,6,BALASORE,2106,,1.54472019678,0.05080744972,country:in/state:or,OR,country:in/state:or/assembly-constituency:32
6,21,ORISSA,8,BALESHWAR,36,Bhograi,Q15724948,6,BALASORE,2106,,0.93723227488,0.03042636553,country:in/state:or,OR,country:in/state:or/assembly-constituency:36
4,21,ORISSA,6,KENDUJHAR,20,Telkoi (st),Q15712389,4,KEONJHAR (ST),2104,,3.66148575551,0.26186113666,country:in/state:or,OR,country:in/state:or/assembly-constituency:20
6,21,ORISSA,8,BALESHWAR,37,Basta,Q15724765,6,BALASORE,2106,,1.75398916699,0.03880654806,country:in/state:or,OR,country:in/state:or/assembly-constituency:37
5,21,ORISSA,7,MAYURBHANJ,31,Udala (st),Q15723737,5,MAYURBHANJ (ST),2105,,1.76994629727,0.05811612426,country:in/state:or,OR,country:in/state:or/assembly-constituency:31
