OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB,NAME_HI
1,10,BIHAR,1,PASHCHIM CHAMPARAN,2,Ramnagar,Q15271652,1,VALMIKI NAGAR,1001,,2.24111390328,0.1056097062,country:in/state:br,BR,country:in/state:br/assembly-constituency:2,
1,10,BIHAR,1,PASHCHIM CHAMPARAN,1,Valmiki Nagar,Q7912495,1,VALMIKI NAGAR,1001,,3.16673833067,0.12206658737,country:in/state:br,BR,country:in/state:br/assembly-constituency:1,
1,10,BIHAR,1,PASHCHIM CHAMPARAN,9,Sikta,Q15277767,1,VALMIKI NAGAR,1001,,1.6438567624,0.04398509075,country:in/state:br,BR,country:in/state:br/assembly-constituency:9,
1,10,BIHAR,1,PASHCHIM CHAMPARAN,4,Bagaha,Q4841408,1,VALMIKI NAGAR,1001,,1.2410549029,0.04398449091,country:in/state:br,BR,country:in/state:br/assembly-constituency:4,
1,10,BIHAR,1,PASHCHIM CHAMPARAN,3,Narkatiaganj,Q6966012,1,VALMIKI NAGAR,1001,,1.44585213609,0.0339216314,country:in/state:br,BR,country:in/state:br/assembly-constituency:3,
1,10,BIHAR,1,PASHCHIM CHAMPARAN,5,Lauriya,Q6501909,1,VALMIKI NAGAR,1001,,1.28649991613,0.03265617396,country:in/state:br,BR,country:in/state:br/assembly-constituency:5,
2,10,BIHAR,2,PURBA CHAMPARAN,10,Raxaul,Q7297090,2,PASCHIM CHAMPARAN,1002,,1.30833172627,0.025599053,country:in/state:br,BR,country:in/state:br/assembly-constituency:10,
2,10,BIHAR,1,PASHCHIM CHAMPARAN,7,Chanpatia,Q5072571,2,PASCHIM CHAMPARAN,1002,,1.2942384841,0.03541506132,country:in/state:br,BR,country:in/state:br/assembly-constituency:7,
2,10,BIHAR,2,PURBA CHAMPARAN,11,Sugauli,Q7635076,2,PASCHIM CHAMPARAN,1002,,1.09140266333,0.03084169076,country:in/state:br,BR,country:in/state:br/assembly-constituency:11,
2,10,BIHAR,2,PURBA CHAMPARAN,12,Narkatia,Q6966013,2,PASCHIM CHAMPARAN,1002,,1.93588626705,0.0326598806,country:in/state:br,BR,country:in/state:br/assembly-constituency:12,
5,10,BIHAR,4,SITAMARHI,25,Parihar,Q7137074,5,SITAMARHI,1005,,0.9694141006,0.02800142147,country:in/state:br,BR,country:in/state:br/assembly-constituency:25,
4,10,BIHAR,2,PURBA CHAMPARAN,21,Dhaka,Q5268709,4,SHEOHAR,1004,,1.10909560202,0.02587272892,country:in/state:br,BR,country:in/state:br/assembly-constituency:21,ढाका विधान सभा निर्वाचन क्षेत्र
2,10,BIHAR,1,PASHCHIM CHAMPARAN,6,Nautan,Q6981455,2,PASCHIM CHAMPARAN,1002,,1.09156163371,0.038715638,country:in/state:br,BR,country:in/state:br/assembly-constituency:6,
2,10,BIHAR,1,PASHCHIM CHAMPARAN,8,Bettiah,Q4898593,2,PASCHIM CHAMPARAN,1002,,0.9634001312,0.02037074147,country:in/state:br,BR,country:in/state:br/assembly-constituency:8,
5,10,BIHAR,4,SITAMARHI,24,Bathnaha,Q4869047,5,SITAMARHI,1005,,1.2739774254,0.03230047521,country:in/state:br,BR,country:in/state:br/assembly-constituency:24,
3,10,BIHAR,2,PURBA CHAMPARAN,19,Motihari,Q6917691,3,PURVI CHAMPARAN,1003,,1.39607701034,0.02806156802,country:in/state:br,BR,country:in/state:br/assembly-constituency:19,
4,10,BIHAR,2,PURBA CHAMPARAN,20,Chiraia,Q5101805,4,SHEOHAR,1004,,1.46568965314,0.02945138083,country:in/state:br,BR,country:in/state:br/assembly-constituency:20,
4,10,BIHAR,4,SITAMARHI,23,Riga,Q7333320,4,SHEOHAR,1004,,1.41909455541,0.02585321262,country:in/state:br,BR,country:in/state:br/assembly-constituency:23,
3,10,BIHAR,2,PURBA CHAMPARAN,13,Harsidhi,Q5673928,3,PURVI CHAMPARAN,1003,,1.26351364246,0.02998724009,country:in/state:br,BR,country:in/state:br/assembly-constituency:13,
3,10,BIHAR,2,PURBA CHAMPARAN,14,Govindganj,Q5589915,3,PURVI CHAMPARAN,1003,,1.30028936166,0.03452147363,country:in/state:br,BR,country:in/state:br/assembly-constituency:14,
7,10,BIHAR,5,MADHUBANI,33,Khajauli,Q6399137,7,JHANJHARPUR,1007,,1.30395888404,0.02827306268,country:in/state:br,BR,country:in/state:br/assembly-constituency:33,
6,10,BIHAR,5,MADHUBANI,31,Harlakhi,Q5658261,6,MADHUBANI,1006,,1.23602594445,0.02863251975,country:in/state:br,BR,country:in/state:br/assembly-constituency:31,
5,10,BIHAR,4,SITAMARHI,26,Sursand,Q16900946,5,SITAMARHI,1005,,1.2865841371,0.02859544774,country:in/state:br,BR,country:in/state:br/assembly-constituency:26,
4,10,BIHAR,3,SHEOHAR *,22,Sheohar,Q7494392,4,SHEOHAR,1004,,1.50111556291,0.04009147284,country:in/state:br,BR,country:in/state:br/assembly-constituency:22,
5,10,BIHAR,4,SITAMARHI,28,Sitamarhi,Q7531636,5,SITAMARHI,1005,,0.85388858733,0.01770710286,country:in/state:br,BR,country:in/state:br/assembly-constituency:28,
10,10,BIHAR,8,KISHANGANJ,53,Thakurganj,Q7709433,10,KISHANGANJ,1010,,2.20388438192,0.05560276973,country:in/state:br,BR,country:in/state:br/assembly-constituency:53,
7,10,BIHAR,5,MADHUBANI,34,Babubarhi,Q4838070,7,JHANJHARPUR,1007,,1.09207093953,0.04006001142,country:in/state:br,BR,country:in/state:br/assembly-constituency:34,
9,10,BIHAR,7,ARARIA,46,Narpatganj,Q6966145,9,ARARIA,1009,,1.90827486707,0.05340465009,country:in/state:br,BR,country:in/state:br/assembly-constituency:46,
5,10,BIHAR,4,SITAMARHI,27,Bajpatti,Q4848934,5,SITAMARHI,1005,,1.35078625951,0.02681474582,country:in/state:br,BR,country:in/state:br/assembly-constituency:27,
4,10,BIHAR,2,PURBA CHAMPARAN,18,Madhuban,Q6727440,4,SHEOHAR,1004,,1.23971009425,0.02576246317,country:in/state:br,BR,country:in/state:br/assembly-constituency:18,
17,10,BIHAR,15,GOPALGANJ,102,Kuchaikote,Q6441397,17,GOPALGANJ (SC),1017,,1.07437244705,0.03226234282,country:in/state:br,BR,country:in/state:br/assembly-constituency:102,
17,10,BIHAR,15,GOPALGANJ,103,Bhorey,Q4902045,17,GOPALGANJ (SC),1017,,1.21539351579,0.03757802549,country:in/state:br,BR,country:in/state:br/assembly-constituency:103,
17,10,BIHAR,15,GOPALGANJ,101,Gopalganj,Q5584228,17,GOPALGANJ (SC),1017,,1.19334281074,0.03019993438,country:in/state:br,BR,country:in/state:br/assembly-constituency:101,
7,10,BIHAR,5,MADHUBANI,40,Laukaha,Q6498263,7,JHANJHARPUR,1007,,1.36381752591,0.05063090044,country:in/state:br,BR,country:in/state:br/assembly-constituency:40,
8,10,BIHAR,6,SUPAUL *,45,Chhatapur,Q5094790,8,SUPAUL,1008,,1.73445052519,0.04903432097,country:in/state:br,BR,country:in/state:br/assembly-constituency:45,
