OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,23,MADHYA PRADESH,1,SHEOPUR *,1,Sheopur,Q7494397,1,MORENA,2301,,2.69648954647,0.17680703776,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:1
1,23,MADHYA PRADESH,1,SHEOPUR *,2,Vijaypur,Q7929322,1,MORENA,2301,,5.41297137491,0.42476278266,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:2
1,23,MADHYA PRADESH,2,MORENA,3,Sabalgarh,Q7395857,1,MORENA,2301,,1.85256130036,0.09389724217,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:3
1,23,MADHYA PRADESH,2,MORENA,4,Joura,Q6294621,1,MORENA,2301,,2.56892653991,0.10524031042,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:4
1,23,MADHYA PRADESH,2,MORENA,5,Sumawali,Q7637024,1,MORENA,2301,,1.64308496954,0.06902333614,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:5
1,23,MADHYA PRADESH,2,MORENA,6,Morena,Q13521925,1,MORENA,2301,,1.38880902914,0.05090916695,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:6
1,23,MADHYA PRADESH,2,MORENA,7,Dimani,Q5277157,1,MORENA,2301,,2.11122881825,0.07510765908,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:7
1,23,MADHYA PRADESH,2,MORENA,8,Ambah (SC),Q4740949,1,MORENA,2301,,1.52952235214,0.0510495059,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:8
2,23,MADHYA PRADESH,3,BHIND,9,Ater,Q4813112,2,BHIND (SC),2302,,1.82974243607,0.08067976436,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:9
2,23,MADHYA PRADESH,3,BHIND,10,Bhind,Q4901801,2,BHIND (SC),2302,,1.30034688326,0.04512991244,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:10
2,23,MADHYA PRADESH,3,BHIND,11,Lahar,Q6473148,2,BHIND (SC),2302,,2.29845725284,0.08101024024,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:11
2,23,MADHYA PRADESH,3,BHIND,12,Mehgaon,Q6809494,2,BHIND (SC),2302,,2.17662217888,0.10472777046,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:12
2,23,MADHYA PRADESH,3,BHIND,13,Gohad (SC),Q5577560,2,BHIND (SC),2302,,2.1822664926,0.09200267263,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:13
3,23,MADHYA PRADESH,4,GWALIOR,14,Gwalior Rural,Q5623262,3,GWALIOR,2303,,2.82326786006,0.11014645854,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:14
3,23,MADHYA PRADESH,4,GWALIOR,15,Gwalior,Q5623256,3,GWALIOR,2303,,0.29973095481,0.00313486974,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:15
3,23,MADHYA PRADESH,4,GWALIOR,16,Gwalior East,Q5623259,3,GWALIOR,2303,,0.23217659596,0.00289735973,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:16
3,23,MADHYA PRADESH,4,GWALIOR,17,Gwalior South,Q5623264,3,GWALIOR,2303,,0.21733581421,0.00156429479,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:17
3,23,MADHYA PRADESH,4,GWALIOR,18,Bhitarwar,Q4901842,3,GWALIOR,2303,,2.83783518265,0.20066296865,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:18
3,23,MADHYA PRADESH,4,GWALIOR,19,Dabra (SC),Q5207545,3,GWALIOR,2303,,1.85301352077,0.09298529681,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:19
2,23,MADHYA PRADESH,5,DATIA,20,Sewda,Q7458210,2,BHIND (SC),2302,,2.4606425528,0.08443298935,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:20
2,23,MADHYA PRADESH,5,DATIA,21,Bhander (SC),Q4900983,2,BHIND (SC),2302,,2.45064204672,0.09507556322,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:21
2,23,MADHYA PRADESH,5,DATIA,22,Datia,Q5227655,2,BHIND (SC),2302,,1.42082079764,0.04797845592,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:22
3,23,MADHYA PRADESH,6,SHIVPURI,23,Karera (SC),Q6370177,3,GWALIOR,2303,,2.69129139633,0.1629139532,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:23
3,23,MADHYA PRADESH,6,SHIVPURI,24,Pohari,Q13521927,3,GWALIOR,2303,,3.97929264596,0.26987957724,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:24
4,23,MADHYA PRADESH,6,SHIVPURI,25,Shivpuri,Q7499423,4,GUNA,2304,,2.58419116595,0.12889899419,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:25
4,23,MADHYA PRADESH,6,SHIVPURI,26,Pichhore,Q7190635,4,GUNA,2304,,2.67784997579,0.17725170928,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:26
4,23,MADHYA PRADESH,6,SHIVPURI,27,Kolaras,Q6427068,4,GUNA,2304,,2.59799738178,0.19882800875,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:27
4,23,MADHYA PRADESH,7,GUNA,28,Bamori,Q4853516,4,GUNA,2304,,3.02093866051,0.23141867798,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:28
4,23,MADHYA PRADESH,7,GUNA,29,Guna (SC),Q5618456,4,GUNA,2304,,1.48136538946,0.06644622996,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:29
20,23,MADHYA PRADESH,7,GUNA,30,Chachoura,Q5066095,20,RAJGARH,2320,,2.79220660137,0.13595733986,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:30
20,23,MADHYA PRADESH,7,GUNA,31,Raghogarh,Q7282974,20,RAJGARH,2320,,2.78129852898,0.13498815054,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:31
4,23,MADHYA PRADESH,46,ASHOK NAGAR,32,Ashok Nagar (SC),Q4805777,4,GUNA,2304,,2.44663065944,0.11079930167,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:32
4,23,MADHYA PRADESH,46,ASHOK NAGAR,33,Chanderi,Q5071013,4,GUNA,2304,,3.1227930081,0.15908089514,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:33
4,23,MADHYA PRADESH,46,ASHOK NAGAR,34,Mungaoli,Q6935985,4,GUNA,2304,,2.21052485917,0.15240763766,country:in/state:mp,MP,country:in/state:mp/assembly-constituency:34
