OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,15,MIZORAM,2,KOLASIB *,6,Serlui (ST),Q55589712,1,MIZORAM (ST),1501,,1.34465081994,0.04958062773,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:6
1,15,MIZORAM,3,AIZAWL,7,Tuivawl (ST),Q55589713,1,MIZORAM (ST),1501,,1.78812136995,0.08314089812,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:7
1,15,MIZORAM,2,KOLASIB *,5,Kolasib (ST),Q30599535,1,MIZORAM (ST),1501,,0.58019341383,0.01753212884,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:5
1,15,MIZORAM,1,MAMIT *,1,Hachhek (ST),Q55589708,1,MIZORAM (ST),1501,,1.82778316618,0.06685476823,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:1
1,15,MIZORAM,2,KOLASIB *,4,Tuirial (ST),Q55589711,1,MIZORAM (ST),1501,,1.52014265363,0.07272000086,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:4
1,15,MIZORAM,3,AIZAWL,8,Chalfilh (ST),Q55589714,1,MIZORAM (ST),1501,,1.7252136646,0.08676777441,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:8
1,15,MIZORAM,1,MAMIT *,3,Mamit (ST),Q55589710,1,MIZORAM (ST),1501,,1.95329644202,0.08359158637,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:3
1,15,MIZORAM,4,CHAMPHAI *,21,Lengteng (ST),Q55589728,1,MIZORAM (ST),1501,,2.19353019973,0.08552555145,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:21
1,15,MIZORAM,4,CHAMPHAI *,23,Champhai North (ST),Q55589730,1,MIZORAM (ST),1501,,1.43184162608,0.08715788336,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:23
1,15,MIZORAM,3,AIZAWL,13,Aizawl East-I,Q55589718,1,MIZORAM (ST),1501,,0.8090869461,0.01849436917,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:13
1,15,MIZORAM,3,AIZAWL,15,Aizawl West-I (ST),Q55589720,1,MIZORAM (ST),1501,,0.58740036997,0.00828168624,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:15
1,15,MIZORAM,3,AIZAWL,10,Aizawl North-I (ST),Q55589716,1,MIZORAM (ST),1501,,0.1783962011,0.00164985594,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:10
1,15,MIZORAM,1,MAMIT *,2,Dampa (ST),Q55589709,1,MIZORAM (ST),1501,,1.96718971579,0.118839547,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:2
1,15,MIZORAM,3,AIZAWL,12,Aizawl North-III (S,Q25208643,1,MIZORAM (ST),1501,,0.24217389869,0.00206067005,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:12
1,15,MIZORAM,3,AIZAWL,11,Aizawl North-II (ST,Q55589717,1,MIZORAM (ST),1501,,0.12326142884,0.00097263975,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:11
1,15,MIZORAM,3,AIZAWL,16,Aizawl West-II (ST),Q55589721,1,MIZORAM (ST),1501,,0.15995074273,0.00101348677,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:16
1,15,MIZORAM,3,AIZAWL,9,Tawi (ST),Q55589715,1,MIZORAM (ST),1501,,1.01556424714,0.04382758957,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:9
1,15,MIZORAM,3,AIZAWL,14,Aizawl East-II (ST),Q55589719,1,MIZORAM (ST),1501,,0.16888305253,0.00112644968,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:14
1,15,MIZORAM,3,AIZAWL,18,Aizawl South-I (ST),Q55589723,1,MIZORAM (ST),1501,,0.15220793641,0.00096527573,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:18
1,15,MIZORAM,3,AIZAWL,17,Aizawl West-III (ST,Q55589722,1,MIZORAM (ST),1501,,0.17356301072,0.00080922897,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:17
1,15,MIZORAM,3,AIZAWL,20,Aizawl South-III (S,Q55589725,1,MIZORAM (ST),1501,,1.30971105521,0.05364051296,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:20
1,15,MIZORAM,3,AIZAWL,19,Aizawl South-II (ST,Q55589724,1,MIZORAM (ST),1501,,0.25293114733,0.00183335443,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:19
1,15,MIZORAM,5,SERCHHIP *,27,Tuikum (ST),Q55589734,1,MIZORAM (ST),1501,,1.14191248117,0.04893062678,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:27
1,15,MIZORAM,4,CHAMPHAI *,24,Champhai South (ST),Q55589731,1,MIZORAM (ST),1501,,0.70161112345,0.0165422148,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:24
1,15,MIZORAM,4,CHAMPHAI *,22,Tuichang (ST),Q55589729,1,MIZORAM (ST),1501,,1.01657549918,0.04740936803,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:22
1,15,MIZORAM,4,CHAMPHAI *,25,East Tuipui (ST),Q55589732,1,MIZORAM (ST),1501,,1.16038410763,0.05561480044,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:25
1,15,MIZORAM,6,LUNGLEI,34,Thorang (ST),Q55589741,1,MIZORAM (ST),1501,,2.16815353798,0.10701810778,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:34
1,15,MIZORAM,5,SERCHHIP *,26,Serchhip (ST),Q55589733,1,MIZORAM (ST),1501,,0.95283913304,0.01831304898,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:26
1,15,MIZORAM,6,LUNGLEI,32,Lunglei West (ST),Q55589739,1,MIZORAM (ST),1501,,1.15111230011,0.03023021501,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:32
1,15,MIZORAM,5,SERCHHIP *,28,Hrangturzo (ST),Q55589735,1,MIZORAM (ST),1501,,0.9858468309,0.04155384456,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:28
1,15,MIZORAM,6,LUNGLEI,30,Lunglei North (ST),Q55589737,1,MIZORAM (ST),1501,,1.16269364722,0.05558127841,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:30
1,15,MIZORAM,6,LUNGLEI,35,West Tuipui (ST),Q55589742,1,MIZORAM (ST),1501,,1.64914571004,0.05615143582,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:35
1,15,MIZORAM,6,LUNGLEI,29,South Tuipui (ST),Q55589736,1,MIZORAM (ST),1501,,1.2842468288,0.06019790402,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:29
1,15,MIZORAM,6,LUNGLEI,31,Lunglei East (ST),Q55589738,1,MIZORAM (ST),1501,,0.60831638295,0.01496370086,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:31
1,15,MIZORAM,6,LUNGLEI,33,Lunglei South (ST),Q55589740,1,MIZORAM (ST),1501,,1.63040032283,0.05299565168,country:in/state:mz,MZ,country:in/state:mz/assembly-constituency:33
