OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,17,MEGHALAYA,5,RI BHOI  *,10,Jirang (ST),Jirang,Q55589566,1,SHILLONG (ST),1701,,2.16457243091,0.06809981986,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:10
1,17,MEGHALAYA,5,RI BHOI  *,8,Mawhati (ST),Mawhati,Q51077239,1,SHILLONG (ST),1701,,1.58739322395,0.04699949605,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:8
1,17,MEGHALAYA,5,RI BHOI  *,9,Nongpoh (ST),Nongpoh,Q50825987,1,SHILLONG (ST),1701,,1.10136189214,0.04737183154,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:9
2,17,MEGHALAYA,2,EAST GARO HILLS,40,Bajengdoba (ST),Bagengdoba,Q55589605,2,TURA (ST),1702,,1.60278607902,0.0444375652,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:40
1,17,MEGHALAYA,5,RI BHOI  *,11,Umsning (ST),Umsning,Q55589568,1,SHILLONG (ST),1701,,0.96795587513,0.03348338053,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:11
2,17,MEGHALAYA,2,EAST GARO HILLS,37,Kharkutta (ST),Kharkutta,Q55589602,2,TURA (ST),1702,,1.0085371947,0.03886844364,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:37
2,17,MEGHALAYA,2,EAST GARO HILLS,38,Mendipathar (ST),Mendipathar,Q28179930,2,TURA (ST),1702,,0.78563645547,0.02118228398,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:38
2,17,MEGHALAYA,2,EAST GARO HILLS,39,Resubelpara (ST),Resubelpara,Q55589603,2,TURA (ST),1702,,0.83620326462,0.02431979927,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:39
2,17,MEGHALAYA,1,WEST GARO HILLS,44,Raksamgre (ST),Raksamgre,Q50391160,2,TURA (ST),1702,,0.66373156463,0.01659193017,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:44
2,17,MEGHALAYA,1,WEST GARO HILLS,45,Tikrikila (ST),Tikrikilla,Q55589609,2,TURA (ST),1702,,0.71886698673,0.01687761108,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:45
1,17,MEGHALAYA,4,WEST KHASI HILLS,30,Mairang (ST),Mairang,Q55589588,1,SHILLONG (ST),1701,,1.0964883556,0.04722147967,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:30
1,17,MEGHALAYA,4,WEST KHASI HILLS,33,Rambrai Jyrngam (ST,Rambrai Jyrngam,Q55589593,1,SHILLONG (ST),1701,,2.00235444678,0.06746980861,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:33
2,17,MEGHALAYA,1,WEST GARO HILLS,46,Phulbari,Phulbari,Q55589614,2,TURA (ST),1702,,0.77355584882,0.0189544543,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:46
1,17,MEGHALAYA,5,RI BHOI  *,12,Umroi (ST),Umroi,Q55589569,1,SHILLONG (ST),1701,,0.78903517719,0.01969424132,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:12
1,17,MEGHALAYA,4,WEST KHASI HILLS,31,Mawthadraishan (ST),Mawthadraishan,Q55589590,1,SHILLONG (ST),1701,,1.23124847959,0.0472668356,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:31
1,17,MEGHALAYA,7,JAINTIA HILLS,1,Nartiang (ST),Nartiang,Q50825597,1,SHILLONG (ST),1701,,1.22276057118,0.04124811905,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:1
2,17,MEGHALAYA,1,WEST GARO HILLS,47,Rajabala,Rajabala,Q55589615,2,TURA (ST),1702,,0.53681179189,0.01310888682,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:47
1,17,MEGHALAYA,4,WEST KHASI HILLS,34,Mawshynrut (ST),Mawshynrut,Q55589599,1,SHILLONG (ST),1701,,2.14712212375,0.14753914658,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:34
2,17,MEGHALAYA,2,EAST GARO HILLS,41,Songsak (ST),Songsak,Q28179924,2,TURA (ST),1702,,1.44092190251,0.06371380891,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:41
2,17,MEGHALAYA,1,WEST GARO HILLS,49,Dadenggre (ST),Dadenggre,Q55589618,2,TURA (ST),1702,,1.17265990495,0.05706574421,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:49
2,17,MEGHALAYA,2,EAST GARO HILLS,42,Rongjeng (ST),Rongjeng,Q55589606,2,TURA (ST),1702,,0.90853417253,0.03212062913,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:42
1,17,MEGHALAYA,6,EAST KHASI HILLS,23,Sohing (ST),Sohiong,Q55589575,1,SHILLONG (ST),1701,,0.65405432287,0.00997895828,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:23
1,17,MEGHALAYA,6,EAST KHASI HILLS,13,Mawryngkneng(ST),Mawrengkneng,Q55589570,1,SHILLONG (ST),1701,,0.7452861545,0.01942502765,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:13
2,17,MEGHALAYA,1,WEST GARO HILLS,48,Selsella (ST),Selsella,Q55589617,2,TURA (ST),1702,,0.78185917818,0.0214081564,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:48
1,17,MEGHALAYA,7,JAINTIA HILLS,3,Raliang (ST),Raliang,Q51077319,1,SHILLONG (ST),1701,,0.84792211309,0.03101857307,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:3
1,17,MEGHALAYA,6,EAST KHASI HILLS,15,Mawlai (ST),Mawlai,Q55589571,1,SHILLONG (ST),1701,,0.33680321785,0.00352544082,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:15
1,17,MEGHALAYA,6,EAST KHASI HILLS,14,Pynthorumkhrah,Pynthorumkhrah,Q50383611,1,SHILLONG (ST),1701,,0.21755731797,0.00173360388,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:14
1,17,MEGHALAYA,4,WEST KHASI HILLS,32,Nongstoin (ST),Nongstoin,Q55589592,1,SHILLONG (ST),1701,,1.19545134515,0.04574093922,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:32
1,17,MEGHALAYA,6,EAST KHASI HILLS,17,North Shillong (ST),North-Shillong,Q50809806,1,SHILLONG (ST),1701,,0.11994436459,0.00062742326,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:17
1,17,MEGHALAYA,6,EAST KHASI HILLS,16,East Shillong (ST),East-Shillong,Q50670480,1,SHILLONG (ST),1701,,0.11506866965,0.00088041293,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:16
1,17,MEGHALAYA,6,EAST KHASI HILLS,18,West Shillong,West-Shillong,Q50809873,1,SHILLONG (ST),1701,,0.1110934417,0.00068846619,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:18
1,17,MEGHALAYA,6,EAST KHASI HILLS,20,Mylliem (ST),Mylliem,Q50809864,1,SHILLONG (ST),1701,,0.50411852619,0.00637258854,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:20
1,17,MEGHALAYA,6,EAST KHASI HILLS,19,South Shillong,South-Shillong,Q50604351,1,SHILLONG (ST),1701,,0.17125397027,0.00101460656,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:19
1,17,MEGHALAYA,6,EAST KHASI HILLS,21,Nongthymmai (ST),Nongthymmai,Q55589572,1,SHILLONG (ST),1701,,0.20365279253,0.00187796244,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:21
1,17,MEGHALAYA,7,JAINTIA HILLS,2,Jowai (ST),Jowai,Q50825599,1,SHILLONG (ST),1701,,0.61456652544,0.01627717501,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:2
1,17,MEGHALAYA,6,EAST KHASI HILLS,24,Mawphlang (ST),Mawphlang,Q55589576,1,SHILLONG (ST),1701,,0.85511358856,0.01738762173,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:24
1,17,MEGHALAYA,6,EAST KHASI HILLS,22,Nongkrem (ST),Nongkrem,Q55589573,1,SHILLONG (ST),1701,,0.46122904941,0.00763480238,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:22
1,17,MEGHALAYA,6,EAST KHASI HILLS,29,Mawkynrew (ST),Mawkynrew,Q55589587,1,SHILLONG (ST),1701,,0.98143381714,0.04109744186,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:29
2,17,MEGHALAYA,1,WEST GARO HILLS,50,North Tura (ST),North Tura,Q55589619,2,TURA (ST),1702,,0.84517086858,0.02089876024,country:in/state:ml,ML,country:in/state:ml/assembly-constituency:50
