OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,3,PUNJAB,1,GURDASPUR,1,Sujanpur,1,GURDASPUR,301,,1.30920004249,0.04054557294,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:1
1,3,PUNJAB,1,GURDASPUR,2,Bhoa (SC),1,GURDASPUR,301,,1.61779246839,0.0369533958,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:2
1,3,PUNJAB,1,GURDASPUR,3,Pathankot,1,GURDASPUR,301,,0.8768383345,0.01343922866,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:3
1,3,PUNJAB,1,GURDASPUR,5,Dina Nagar (SC),1,GURDASPUR,301,,1.45942754937,0.03876255137,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:5
1,3,PUNJAB,1,GURDASPUR,10,Dera Baba Nanak,1,GURDASPUR,301,,2.11087732856,0.06182341067,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:10
1,3,PUNJAB,1,GURDASPUR,4,Gurdaspur,1,GURDASPUR,301,,1.23917977267,0.03103989785,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:4
5,3,PUNJAB,5,HOSHIARPUR,39,Mukerian,5,HOSHIARPUR (SC),305,,1.36493547076,0.04013019765,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:39
2,3,PUNJAB,2,AMRITSAR,11,Ajnala,2,AMRITSAR,302,,1.55099026548,0.04905608168,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:11
1,3,PUNJAB,1,GURDASPUR,9,Fatehgarh Churian,1,GURDASPUR,301,,1.58457857596,0.03556027382,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:9
1,3,PUNJAB,1,GURDASPUR,6,Qadian,1,GURDASPUR,301,,1.22062046661,0.02701670869,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:6
5,3,PUNJAB,5,HOSHIARPUR,40,Dasuya,5,HOSHIARPUR (SC),305,,1.75184136851,0.04848212283,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:40
2,3,PUNJAB,2,AMRITSAR,12,Raja Sansi,2,AMRITSAR,302,,1.52112174611,0.05406975476,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:12
2,3,PUNJAB,2,AMRITSAR,13,Majitha,2,AMRITSAR,302,,1.27197582255,0.034539885,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:13
1,3,PUNJAB,1,GURDASPUR,7,Batala,1,GURDASPUR,301,,0.94665200694,0.01521404902,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:7
5,3,PUNJAB,5,HOSHIARPUR,41,Urmar,5,HOSHIARPUR (SC),305,,1.71017119599,0.04614268983,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:41
5,3,PUNJAB,1,GURDASPUR,8,Sri Hargobindpur (S,5,HOSHIARPUR (SC),305,,1.19229811644,0.03935404012,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:8
5,3,PUNJAB,5,HOSHIARPUR,42,Sham Chaurasi (SC),5,HOSHIARPUR (SC),305,,1.52308352369,0.06309265344,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:42
2,3,PUNJAB,2,AMRITSAR,20,Attari (SC),2,AMRITSAR,302,,2.48569660398,0.04523928682,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:20
2,3,PUNJAB,2,AMRITSAR,16,Amritsar West (SC),2,AMRITSAR,302,,0.37824694155,0.00412664862,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:16
3,3,PUNJAB,2,AMRITSAR,14,Jandiala (SC),3,KHADOOR SAHIB,303,,1.40251209526,0.03413935481,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:14
2,3,PUNJAB,2,AMRITSAR,18,Amritsar East,2,AMRITSAR,302,,0.34015162393,0.0031730908,country:in/state:pb,PB,country:in/state:pb/assembly-constituency:18
