OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
5,21,ORISSA,7,MAYURBHANJ,28,RAIRANGPUR (ST),5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,country:in/state:od,OR,country:in/state:od/assembly-constituency:28
2,21,ORISSA,5,SUNDARGARH,8,TALSARA (ST),2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,country:in/state:od,OR,country:in/state:od/assembly-constituency:8
2,21,ORISSA,5,SUNDARGARH,10,BIRAMITRAPUR (ST),2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,country:in/state:od,OR,country:in/state:od/assembly-constituency:10
5,21,ORISSA,7,MAYURBHANJ,27,SARASKANA (ST),5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,country:in/state:od,OR,country:in/state:od/assembly-constituency:27
2,21,ORISSA,5,SUNDARGARH,13,RAJGANGPUR (ST),2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,country:in/state:od,OR,country:in/state:od/assembly-constituency:13
2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,country:in/state:od,OR,country:in/state:od/assembly-constituency:12
5,21,ORISSA,7,MAYURBHANJ,29,BANGRIPOSI (ST),5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,country:in/state:od,OR,country:in/state:od/assembly-constituency:29
2,21,ORISSA,5,SUNDARGARH,11,RAGHUNATHPALI (SC),2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,country:in/state:od,OR,country:in/state:od/assembly-constituency:11
5,21,ORISSA,7,MAYURBHANJ,26,JASHIPUR (ST),5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,country:in/state:od,OR,country:in/state:od/assembly-constituency:26
2,21,ORISSA,5,SUNDARGARH,9,SUNDARGARH (ST),2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,country:in/state:od,OR,country:in/state:od/assembly-constituency:9
3,21,ORISSA,3,SAMBALPUR,15,KUCHINDA (ST),3,SAMBALPUR,2103,,3.416529309,0.19502294301,country:in/state:od,OR,country:in/state:od/assembly-constituency:15
4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,country:in/state:od,OR,country:in/state:od/assembly-constituency:25
5,21,ORISSA,7,MAYURBHANJ,34,MORADA,5,MAYURBHANJ (ST),2105,,2.17515560128,0.0793518347,country:in/state:od,OR,country:in/state:od/assembly-constituency:34
2,21,ORISSA,5,SUNDARGARH,14,BONAI (ST),2,SUNDARGARH (ST),2102,,3.07142060274,0.2890720195,country:in/state:od,OR,country:in/state:od/assembly-constituency:14
5,21,ORISSA,7,MAYURBHANJ,33,BARIPADA (ST),5,MAYURBHANJ (ST),2105,,1.99240308064,0.05130231133,country:in/state:od,OR,country:in/state:od/assembly-constituency:33
6,21,ORISSA,8,BALESHWAR,35,JALESWAR,6,BALASORE,2106,,1.54363294463,0.04352318056,country:in/state:od,OR,country:in/state:od/assembly-constituency:35
1,21,ORISSA,2,JHARSUGUDA  *,7,JHARSUGUDA,1,BARGARH,2101,,1.56734318384,0.08391059837,country:in/state:od,OR,country:in/state:od/assembly-constituency:7
4,21,ORISSA,6,KENDUJHAR,24,KEONJHAR (ST),4,KEONJHAR (ST),2104,,2.30034389086,0.09235723405,country:in/state:od,OR,country:in/state:od/assembly-constituency:24
4,21,ORISSA,6,KENDUJHAR,23,PATNA (ST),4,KEONJHAR (ST),2104,,2.31802725995,0.10309037927,country:in/state:od,OR,country:in/state:od/assembly-constituency:23
4,21,ORISSA,7,MAYURBHANJ,30,KARANJIA (ST),4,KEONJHAR (ST),2104,,3.15945493084,0.16891162162,country:in/state:od,OR,country:in/state:od/assembly-constituency:30
1,21,ORISSA,2,JHARSUGUDA  *,6,BRAJARAJNAGAR,1,BARGARH,2101,,2.0740379374,0.10099132798,country:in/state:od,OR,country:in/state:od/assembly-constituency:6
6,21,ORISSA,7,MAYURBHANJ,32,BADASAHI (SC),6,BALASORE,2106,,1.54472019678,0.05080744972,country:in/state:od,OR,country:in/state:od/assembly-constituency:32
6,21,ORISSA,8,BALESHWAR,36,BHOGRAI,6,BALASORE,2106,,0.93723227488,0.03042636553,country:in/state:od,OR,country:in/state:od/assembly-constituency:36
4,21,ORISSA,6,KENDUJHAR,20,TELKOI (ST),4,KEONJHAR (ST),2104,,3.66148575551,0.26186113666,country:in/state:od,OR,country:in/state:od/assembly-constituency:20
6,21,ORISSA,8,BALESHWAR,37,BASTA,6,BALASORE,2106,,1.75398916699,0.03880654806,country:in/state:od,OR,country:in/state:od/assembly-constituency:37
5,21,ORISSA,7,MAYURBHANJ,31,UDALA (ST),5,MAYURBHANJ (ST),2105,,1.76994629727,0.05811612426,country:in/state:od,OR,country:in/state:od/assembly-constituency:31
3,21,ORISSA,3,SAMBALPUR,16,RENGALI (SC),3,SAMBALPUR,2103,,2.7698832668,0.09568037962,country:in/state:od,OR,country:in/state:od/assembly-constituency:16
3,21,ORISSA,4,DEBAGARH  *,19,DEOGARH,3,SAMBALPUR,2103,,3.64445376509,0.25213744912,country:in/state:od,OR,country:in/state:od/assembly-constituency:19
1,21,ORISSA,1,BARGARH  *,5,BHATLI,1,BARGARH,2101,,2.6634395357,0.1405586326,country:in/state:od,OR,country:in/state:od/assembly-constituency:5
6,21,ORISSA,8,BALESHWAR,38,BALASORE,6,BALASORE,2106,,1.49825074253,0.03437562531,country:in/state:od,OR,country:in/state:od/assembly-constituency:38
