OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,32,KERALA,1,KASARAGOD,1,Ma njeshwar,1,KASARAGOD,3201,,1.41026406426,0.03150457966,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:1
1,32,KERALA,1,KASARAGOD,2,Kasaragod,1,KASARAGOD,3201,,1.03416685915,0.02300698387,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:2
1,32,KERALA,1,KASARAGOD,3,Udma,1,KASARAGOD,3201,,1.40603932329,0.03827044949,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:3
1,32,KERALA,1,KASARAGOD,4,Kanhangad,1,KASARAGOD,3201,,1.52803974455,0.04401474697,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:4
1,32,KERALA,1,KASARAGOD,5,Trikaripur,1,KASARAGOD,3201,,1.1367163935,0.02741638721,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:5
1,32,KERALA,2,KANNUR,6,Payyannur,1,KASARAGOD,3201,,1.29182272034,0.03096909134,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:6
2,32,KERALA,2,KANNUR,9,Irikkur,2,KANNUR,3202,,1.48320666566,0.04922254116,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:9
2,32,KERALA,2,KANNUR,8,Taliparamba,2,KANNUR,3202,,1.12488951692,0.0245646001,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:8
1,32,KERALA,2,KANNUR,7,Kalliasseri,1,KASARAGOD,3201,,0.9236682732,0.01735725366,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:7
2,32,KERALA,2,KANNUR,16,Peravoor,2,KANNUR,3202,,1.2223192843,0.04445300768,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:16
2,32,KERALA,2,KANNUR,15,Mattannur,2,KANNUR,3202,,1.36042596988,0.0287230351,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:15
2,32,KERALA,2,KANNUR,10,Azhikode,2,KANNUR,3202,,0.4272302343,0.00660161266,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:10
4,32,KERALA,3,WAYANAD,17,Mananthavady (ST),4,WAYANAD,3204,,1.47327235851,0.06197282542,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:17
2,32,KERALA,2,KANNUR,11,Kannur,2,KANNUR,3202,,0.52322267164,0.00705280578,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:11
2,32,KERALA,2,KANNUR,12,Dharmadam,2,KANNUR,3202,,0.52457459245,0.01085472726,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:12
3,32,KERALA,2,KANNUR,14,Kuthuparamba,3,VADAKARA,3203,,1.10426524641,0.01999343254,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:14
4,32,KERALA,3,WAYANAD,18,Sulthanbathery (S,4,WAYANAD,3204,,1.3865218956,0.0633768642,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:18
3,32,KERALA,2,KANNUR,13,Thalassery,3,VADAKARA,3203,,0.54724488734,0.00598942253,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:13
3,32,KERALA,4,KOZHIKODE,22,Nadapuram,3,VADAKARA,3203,,1.09536737659,0.02764622097,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:22
4,32,KERALA,3,WAYANAD,19,Kalpetta,4,WAYANAD,3204,,1.35456768499,0.05158645494,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:19
3,32,KERALA,4,KOZHIKODE,20,Vadakara,3,VADAKARA,3203,,0.46467742632,0.00607178753,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:20
3,32,KERALA,4,KOZHIKODE,21,Kuttiadi,3,VADAKARA,3203,,0.69937611962,0.01398142488,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:21
3,32,KERALA,4,KOZHIKODE,24,Perambra,3,VADAKARA,3203,,0.94609216798,0.02432126354,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:24
5,32,KERALA,4,KOZHIKODE,25,Balusseri (SC),5,KOZHIKODE,3205,,1.08370650684,0.02814698302,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:25
3,32,KERALA,4,KOZHIKODE,23,Quilandy,3,VADAKARA,3203,,0.61087651752,0.00873170368,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:23
5,32,KERALA,4,KOZHIKODE,31,Koduvally,5,KOZHIKODE,3205,,0.92899252732,0.01481176132,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:31
4,32,KERALA,4,KOZHIKODE,32,Thiruvambadi,4,WAYANAD,3204,,1.08654093649,0.03518787942,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:32
4,32,KERALA,5,MALAPPURAM,35,Nilambur,4,WAYANAD,3204,,1.57764081618,0.07616628265,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:35
5,32,KERALA,4,KOZHIKODE,26,Elathur,5,KOZHIKODE,3205,,0.64028504671,0.01118837599,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:26
4,32,KERALA,5,MALAPPURAM,34,Ernad,4,WAYANAD,3204,,1.13776223542,0.02478462863,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:34
5,32,KERALA,4,KOZHIKODE,30,Kunnamangalam,5,KOZHIKODE,3205,,0.65478719862,0.01226167656,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:30
5,32,KERALA,4,KOZHIKODE,27,Kozhikode North,5,KOZHIKODE,3205,,0.36647360471,0.00477806994,country:in/state:kl,KL,country:in/state:kl/assembly-constituency:27
