OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,27,MAHARASHTRA,1,NANDURBAR *,1,Akkalkuwa (ST),1,NANDURBAR (ST),2701,,2.89438825159,0.19480645615,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:1
1,27,MAHARASHTRA,1,NANDURBAR *,2,Shahada (ST),1,NANDURBAR (ST),2701,,2.61861028697,0.09438362454,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:2
7,27,MAHARASHTRA,7,AMRAVATI,41,Melghat (ST),7,AMRAVATI (SC),2707,,3.71142804642,0.37575184443,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:41
1,27,MAHARASHTRA,1,NANDURBAR *,3,Nandurbar (ST),1,NANDURBAR (ST),2701,,2.58028296429,0.1091400026,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:3
1,27,MAHARASHTRA,2,DHULE,9,Shirpur (ST),1,NANDURBAR (ST),2701,,1.72819268168,0.13164422931,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:9
9,27,MAHARASHTRA,9,NAGPUR,59,Ramtek,9,RAMTEK (SC),2709,,2.47655656085,0.18750877218,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:59
1,27,MAHARASHTRA,1,NANDURBAR *,4,Nawapur (ST),1,NANDURBAR (ST),2701,,2.94902985335,0.12106722737,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:4
8,27,MAHARASHTRA,7,AMRAVATI,43,Morshi,8,WARDHA,2708,,2.56905290764,0.11136612171,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:43
9,27,MAHARASHTRA,9,NAGPUR,49,Savner,9,RAMTEK (SC),2709,,2.28866767648,0.10011290022,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:49
11,27,MAHARASHTRA,11,GONDIYA *,65,Gondiya,11,BHANDARA-GONDIYA,2711,,1.09119300933,0.04331485406,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:65
11,27,MAHARASHTRA,10,BHANDARA,60,Tumsar,11,BHANDARA-GONDIYA,2711,,1.8290797252,0.11496372769,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:60
2,27,MAHARASHTRA,2,DHULE,8,Sindkheda,2,DHULE,2702,,2.02071877149,0.13164435013,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:8
11,27,MAHARASHTRA,11,GONDIYA *,64,Tirora,11,BHANDARA-GONDIYA,2711,,1.8716232234,0.09025659355,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:64
9,27,MAHARASHTRA,9,NAGPUR,48,Katol,9,RAMTEK (SC),2709,,2.30933469064,0.14590300671,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:48
4,27,MAHARASHTRA,3,JALGAON,10,Chopda (ST),4,RAVER,2704,,2.4285734212,0.14684508237,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:10
12,27,MAHARASHTRA,11,GONDIYA *,66,Amgaon (ST),12,GADCHIROLI-CHIMUR,2712,,2.9325424099,0.15450978176,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:66
4,27,MAHARASHTRA,3,JALGAON,11,Raver,4,RAVER,2704,,1.86850719664,0.09580181464,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:11
7,27,MAHARASHTRA,7,AMRAVATI,42,Achalpur,7,AMRAVATI (SC),2707,,1.83813403874,0.07044545098,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:42
1,27,MAHARASHTRA,2,DHULE,5,Sakri (ST),1,NANDURBAR (ST),2701,,2.57845535108,0.19072975531,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:5
8,27,MAHARASHTRA,8,WARDHA,44,Arvi,8,WARDHA,2708,,2.40225738648,0.19236164182,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:44
9,27,MAHARASHTRA,9,NAGPUR,58,Kamthi,9,RAMTEK (SC),2709,,3.0145044574,0.09151872204,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:58
3,27,MAHARASHTRA,3,JALGAON,15,Amalner,3,JALGAON,2703,,1.60093882564,0.0929088166,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:15
5,27,MAHARASHTRA,4,BULDANA,27,Jalgaon (Jamod),5,BULDHANA,2705,,2.68698981553,0.13882292439,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:27
4,27,MAHARASHTRA,3,JALGAON,20,Muktainagar,4,RAVER,2704,,2.73859694466,0.10687253265,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:20
11,27,MAHARASHTRA,11,GONDIYA *,63,Arjuni Morgaon(SC),11,BHANDARA-GONDIYA,2711,,3.00681258852,0.16843223697,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:63
6,27,MAHARASHTRA,5,AKOLA,28,Akot,6,AKOLA,2706,,1.82150678157,0.09755150112,country:in/state:mh,MH,country:in/state:mh/assembly-constituency:28
