OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,34,PUDUCHERRY,1,YANAM,30,Yanam,Yanam,Q8048251,1,PONDICHERRY,3401,,0.38888729278,0.00263972798,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:30
1,34,PUDUCHERRY,2,PONDICHERRY,1,Mannadipet,Mannadipet,Q6750715,1,PONDICHERRY,3401,,0.47320860928,0.00314665596,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:1
1,34,PUDUCHERRY,2,PONDICHERRY,3,Oussudu (SC),Ossudu,Q7107543,1,PONDICHERRY,3401,,0.3901440064,0.00269412847,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:3
1,34,PUDUCHERRY,2,PONDICHERRY,12,Kalapet,Kalapet,Q16920679,1,PONDICHERRY,3401,,0.25282794146,0.0012003428,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:12
1,34,PUDUCHERRY,2,PONDICHERRY,11,Lawspet,Lawspet,Q6505023,1,PONDICHERRY,3401,,0.09100087388,0.0001597804,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:11
1,34,PUDUCHERRY,2,PONDICHERRY,8,Indira Nagar,Indira Nagar,Q6025049,1,PONDICHERRY,3401,,0.12163237907,0.00042736006,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:8
1,34,PUDUCHERRY,2,PONDICHERRY,10,Kamraj Nagar,Kamaraj Nagar,Q6355948,1,PONDICHERRY,3401,,0.07319595402,0.00023015657,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:10
1,34,PUDUCHERRY,2,PONDICHERRY,13,Muthialpet,Muthialpet,Q6943848,1,PONDICHERRY,3401,,0.05666717549,0.0001433482,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:13
1,34,PUDUCHERRY,2,PONDICHERRY,9,Thattanchavady,Thattanchavady,Q7711405,1,PONDICHERRY,3401,,0.07317469677,0.00022592234,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:9
1,34,PUDUCHERRY,2,PONDICHERRY,2,Thirubhuvanai (SC),Thirubuvanai,Q7785260,1,PONDICHERRY,3401,,0.35925616534,0.00236093322,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:2
1,34,PUDUCHERRY,2,PONDICHERRY,14,Raj Bhavan,Raj Bhavan,Q7285279,1,PONDICHERRY,3401,,0.06875881022,0.00017225956,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:14
1,34,PUDUCHERRY,2,PONDICHERRY,6,Ozhukarai,Ozhukarai,Q16919338,1,PONDICHERRY,3401,,0.12256018334,0.00037232627,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:6
1,34,PUDUCHERRY,2,PONDICHERRY,17,Nellithope,Nellithope,Q6990196,1,PONDICHERRY,3401,,0.05203106162,7.084692e-05,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:17
1,34,PUDUCHERRY,2,PONDICHERRY,7,Kadirgamam,Kadirkamam,Q6345566,1,PONDICHERRY,3401,,0.10937542376,0.00023973802,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:7
1,34,PUDUCHERRY,2,PONDICHERRY,16,Orleampeth,Orleampeth,Q7103233,1,PONDICHERRY,3401,,0.04531490416,0.00010630521,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:16
1,34,PUDUCHERRY,2,PONDICHERRY,5,Villianur,Villianur,Q7931090,1,PONDICHERRY,3401,,0.18761069391,0.00094008135,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:5
1,34,PUDUCHERRY,2,PONDICHERRY,15,Oupalam,Oupalam,Q7110538,1,PONDICHERRY,3401,,0.05497241254,0.00017072068,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:15
1,34,PUDUCHERRY,2,PONDICHERRY,18,Mudaliarpet,Mudaliarpet,Q6931518,1,PONDICHERRY,3401,,0.07396181639,0.00023593602,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:18
1,34,PUDUCHERRY,2,PONDICHERRY,19,Ariankuppam,Ariankuppam,Q4790235,1,PONDICHERRY,3401,,0.14225105076,0.00082185638,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:19
1,34,PUDUCHERRY,2,PONDICHERRY,4,Mangalam,Mangalam,Q6748672,1,PONDICHERRY,3401,,0.42639678188,0.00205202699,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:4
1,34,PUDUCHERRY,2,PONDICHERRY,20,Manavely,Manavely,Q6747116,1,PONDICHERRY,3401,,0.25680340219,0.00167769106,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:20
1,34,PUDUCHERRY,2,PONDICHERRY,22,Nettapakkam (SC),Nettapakkam,Q7000444,1,PONDICHERRY,3401,,0.37684310193,0.00211265782,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:22
1,34,PUDUCHERRY,2,PONDICHERRY,21,Embalam (SC),Embalam,Q5369418,1,PONDICHERRY,3401,,0.41271085697,0.00246199576,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:21
1,34,PUDUCHERRY,3,MAHE,29,Mahe,Mahe,Q6733692,1,PONDICHERRY,3401,,0.21076090468,0.00075458082,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:29
1,34,PUDUCHERRY,2,PONDICHERRY,23,Bahour,Bahour,Q4842708,1,PONDICHERRY,3401,,0.32329905485,0.00257026465,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:23
1,34,PUDUCHERRY,4,KARAIKAL,24,Nedungadu (SC),Nedungadu,Q6986382,1,PONDICHERRY,3401,,0.3561110691,0.00368319641,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:24
1,34,PUDUCHERRY,4,KARAIKAL,26,Karaikal North,Karaikal North,Q6367980,1,PONDICHERRY,3401,,0.16190902545,0.0015631933,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:26
1,34,PUDUCHERRY,4,KARAIKAL,25,Thirunallar,Thirunallar,Q7785380,1,PONDICHERRY,3401,,0.36020308731,0.00377104471,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:25
1,34,PUDUCHERRY,4,KARAIKAL,27,Karaikal South,Karaikal South,Q6367981,1,PONDICHERRY,3401,,0.16385884243,0.00106931189,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:27
1,34,PUDUCHERRY,4,KARAIKAL,28,Neravy- T.R. Pattin,Neravy T R Pattinam,Q6995942,1,PONDICHERRY,3401,,0.54261628454,0.00324158459,country:in/union-territory:py,PY,country:in/union-territory:py/assembly-constituency:28
