ST_NAME,PC_NAME,WIKIDATA,ST_CODE,PC_CODE,Res,MS_FB_PARE,MS_FB
AP,Warangal,Q3763938,S01,15,SC,country:in/state:ap,country:in/state:ap/lok-sabha:15
AP,Hyderabad,Q3764307,S01,9,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:9
AP,Malkajgiri,Q6743862,S01,7,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:7
AR,Arunachal West,Q1659305,S02,1,GEN,country:in/state:ar,country:in/state:ar/lok-sabha:1
AR,Arunachal East,Q1659329,S02,2,GEN,country:in/state:ar,country:in/state:ar/lok-sabha:2
AS,Lakhimpur,Q1609659,S03,14,GEN,country:in/state:as,country:in/state:as/lok-sabha:14
AS,Dibrugarh,Q1606690,S03,13,GEN,country:in/state:as,country:in/state:as/lok-sabha:13
AS,Jorhat,Q6278852,S03,12,GEN,country:in/state:as,country:in/state:as/lok-sabha:12
AS,Tezpur,Q1606703,S03,9,GEN,country:in/state:as,country:in/state:as/lok-sabha:9
AS,Kaliabor,Q1606642,S03,11,GEN,country:in/state:as,country:in/state:as/lok-sabha:11
AS,Mangaldoi,Q1606654,S03,8,GEN,country:in/state:as,country:in/state:as/lok-sabha:8
AS,Nowgong,Q1606595,S03,10,GEN,country:in/state:as,country:in/state:as/lok-sabha:10
AS,Autonomous District,Q1606679,S03,3,ST,country:in/state:as,country:in/state:as/lok-sabha:3
AS,Dhubri,Q1606616,S03,4,GEN,country:in/state:as,country:in/state:as/lok-sabha:4
AS,Karimganj,Q1606665,S03,1,SC,country:in/state:as,country:in/state:as/lok-sabha:1
AS,Silchar,Q1606626,S03,2,GEN,country:in/state:as,country:in/state:as/lok-sabha:2
AS,Kokrajhar,Q1606670,S03,5,ST,country:in/state:as,country:in/state:as/lok-sabha:5
AS,Gauhati,Q1606633,S03,7,GEN,country:in/state:as,country:in/state:as/lok-sabha:7
AS,Barpeta,Q1606606,S03,6,GEN,country:in/state:as,country:in/state:as/lok-sabha:6
BR,Muzaffarpur,Q3633305,S04,15,GEN,country:in/state:br,country:in/state:br/lok-sabha:15
BR,Valmiki Nagar,Q7912496,S04,1,GEN,country:in/state:br,country:in/state:br/lok-sabha:1
BR,Araria,Q3632717,S04,9,GEN,country:in/state:br,country:in/state:br/lok-sabha:9
BR,Gopalganj,Q3633217,S04,17,SC,country:in/state:br,country:in/state:br/lok-sabha:17
BR,Siwan,Q7532526,S04,18,GEN,country:in/state:br,country:in/state:br/lok-sabha:18
BR,Vaishali,Q7908854,S04,16,GEN,country:in/state:br,country:in/state:br/lok-sabha:16
BR,Jhanjharpur,Q6190886,S04,7,GEN,country:in/state:br,country:in/state:br/lok-sabha:7
BR,Supaul,Q12457988,S04,8,GEN,country:in/state:br,country:in/state:br/lok-sabha:8
BR,Paschim Champaran,Q7141801,S04,2,GEN,country:in/state:br,country:in/state:br/lok-sabha:2
BR,Madhubani,Q3632704,S04,6,GEN,country:in/state:br,country:in/state:br/lok-sabha:6
BR,Kishanganj,Q12419668,S04,10,GEN,country:in/state:br,country:in/state:br/lok-sabha:10
BR,Darbhanga,Q5222212,S04,14,GEN,country:in/state:br,country:in/state:br/lok-sabha:14
BR,Purnia,Q3633423,S04,12,GEN,country:in/state:br,country:in/state:br/lok-sabha:12
BR,Maharajganj (Bihar),Q6733273,S04,19,GEN,country:in/state:br,country:in/state:br/lok-sabha:19
BR,Madhepura,Q6727343,S04,13,GEN,country:in/state:br,country:in/state:br/lok-sabha:13
BR,Begusarai,Q4880639,S04,24,GEN,country:in/state:br,country:in/state:br/lok-sabha:24
BR,Arrah,Q3632604,S04,32,GEN,country:in/state:br,country:in/state:br/lok-sabha:32
BR,Sasaram,Q3633377,S04,34,SC,country:in/state:br,country:in/state:br/lok-sabha:34
BR,Nawada,Q3633321,S04,39,GEN,country:in/state:br,country:in/state:br/lok-sabha:39
BR,Banka,Q4856235,S04,27,GEN,country:in/state:br,country:in/state:br/lok-sabha:27
BR,Nalanda,Q6960794,S04,29,GEN,country:in/state:br,country:in/state:br/lok-sabha:29
BR,Katihar,Q3633289,S04,11,GEN,country:in/state:br,country:in/state:br/lok-sabha:11
BR,Samastipur,Q7408890,S04,23,SC,country:in/state:br,country:in/state:br/lok-sabha:23
BR,Khagaria,Q6398963,S04,25,GEN,country:in/state:br,country:in/state:br/lok-sabha:25
BR,Pataliputra,Q7144222,S04,31,GEN,country:in/state:br,country:in/state:br/lok-sabha:31
BR,Buxar,Q5003234,S04,33,GEN,country:in/state:br,country:in/state:br/lok-sabha:33
BR,Patna Sahib (Lok Sabha constituency),Q7145114,S04,30,GEN,country:in/state:br,country:in/state:br/lok-sabha:30
BR,Bhagalpur,Q3633257,S04,26,GEN,country:in/state:br,country:in/state:br/lok-sabha:26
BR,Munger,Q3633242,S04,28,GEN,country:in/state:br,country:in/state:br/lok-sabha:28
BR,Purvi Champaran,Q7261669,S04,3,GEN,country:in/state:br,country:in/state:br/lok-sabha:3
BR,Sheohar,Q7494394,S04,4,GEN,country:in/state:br,country:in/state:br/lok-sabha:4
BR,Sitamarhi,Q7531640,S04,5,GEN,country:in/state:br,country:in/state:br/lok-sabha:5
BR,Ujiarpur,Q7878191,S04,22,GEN,country:in/state:br,country:in/state:br/lok-sabha:22
BR,Hajipur,Q3633148,S04,21,SC,country:in/state:br,country:in/state:br/lok-sabha:21
BR,Karakat,Q6368090,S04,35,GEN,country:in/state:br,country:in/state:br/lok-sabha:35
BR,Saran,Q7423046,S04,20,GEN,country:in/state:br,country:in/state:br/lok-sabha:20
BR,Jamui,Q12428079,S04,40,SC,country:in/state:br,country:in/state:br/lok-sabha:40
BR,Aurangabad (Bihar),Q4822111,S04,37,GEN,country:in/state:br,country:in/state:br/lok-sabha:37
BR,Gaya,Q3633170,S04,38,SC,country:in/state:br,country:in/state:br/lok-sabha:38
BR,Jahanabad,Q12428505,S04,36,GEN,country:in/state:br,country:in/state:br/lok-sabha:36
CG,Janjgir,Q6154769,S26,3,SC,country:in/state:ct,country:in/state:ct/lok-sabha:3
CG,Raipur,Q12449885,S26,8,GEN,country:in/state:ct,country:in/state:ct/lok-sabha:8
CG,Surguja,Q255234,S26,1,ST,country:in/state:ct,country:in/state:ct/lok-sabha:1
CG,Bilaspur,Q4907564,S26,5,GEN,country:in/state:ct,country:in/state:ct/lok-sabha:5
CG,Rajnandgaon,Q7286332,S26,6,GEN,country:in/state:ct,country:in/state:ct/lok-sabha:6
CG,Durg,Q3632662,S26,7,GEN,country:in/state:ct,country:in/state:ct/lok-sabha:7
CG,Mahasamund,Q12446106,S26,9,GEN,country:in/state:ct,country:in/state:ct/lok-sabha:9
CG,Raigad,Q7283812,S26,2,ST,country:in/state:ct,country:in/state:ct/lok-sabha:2
CG,Kanker,Q12418918,S26,11,ST,country:in/state:ct,country:in/state:ct/lok-sabha:11
CG,Bastar,Q4868222,S26,10,ST,country:in/state:ct,country:in/state:ct/lok-sabha:10
CG,Korba,Q6431463,S26,4,GEN,country:in/state:ct,country:in/state:ct/lok-sabha:4
CH,Chandigarh,Q5071061,U02,1,GEN,country:in/union-territory:ch,country:in/union-territory:ch/lok-sabha:1
DD,Daman and Diu,Q5211945,U04,1,GEN,country:in/union-territory:dd,country:in/union-territory:dd/lok-sabha:1
DL,West Delhi,Q7984938,U05,6,GEN,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:6
DL,North West Delhi,Q7057245,U05,5,SC,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:5
DL,Chandni Chowk,Q5071226,U05,1,GEN,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:1
DL,North East Delhi,Q7055185,U05,2,GEN,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:2
DL,South Delhi,Q7567023,U05,7,GEN,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:7
DL,East Delhi,Q5328213,U05,3,GEN,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:3
DL,New Delhi,Q13118215,U05,4,GEN,country:in/union-territory:dl,country:in/union-territory:dl/lok-sabha:4
DN,Dadra and Nagar Haveli,Q5208111,U03,1,ST,country:in/union-territory:dn,country:in/union-territory:dn/lok-sabha:1
GA,South Goa,Q7567370,S05,2,GEN,country:in/state:ga,country:in/state:ga/lok-sabha:2
GA,North Goa,Q12416142,S05,1,GEN,country:in/state:ga,country:in/state:ga/lok-sabha:1
GJ,Bardoli,Q4860193,S06,23,ST,country:in/state:gj,country:in/state:gj/lok-sabha:23
GJ,Junagadh,Q6311592,S06,13,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:13
GJ,Surat,Q7645435,S06,24,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:24
GJ,Kheda,Q6401180,S06,17,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:17
GJ,Ahmedabad West,Q3764468,S06,8,SC,country:in/state:gj,country:in/state:gj/lok-sabha:8
GJ,Jamnagar,Q6148068,S06,12,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:12
GJ,Sabarkantha,Q7395911,S06,5,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:5
GJ,Banaskantha,Q3764387,S06,2,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:2
GJ,Patan,Q7144231,S06,3,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:3
GJ,Panchmahal,Q7130343,S06,18,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:18
GJ,Dahod,Q5208930,S06,19,ST,country:in/state:gj,country:in/state:gj/lok-sabha:19
GJ,Vadodara,Q7908337,S06,20,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:20
GJ,Anand,Q4751232,S06,16,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:16
GJ,Amreli,Q3765227,S06,14,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:14
GJ,Ahmedabad East,Q4696121,S06,7,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:7
GJ,Rajkot,Q11222818,S06,10,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:10
GJ,Surendranagar,Q7645700,S06,9,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:9
GJ,Navsari,Q6982569,S06,25,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:25
GJ,Bharuch,Q4901329,S06,22,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:22
GJ,Chhota Udaipur,Q5094957,S06,21,ST,country:in/state:gj,country:in/state:gj/lok-sabha:21
GJ,Porbandar,Q7229961,S06,11,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:11
GJ,Valsad,Q7912607,S06,26,ST,country:in/state:gj,country:in/state:gj/lok-sabha:26
GJ,Gandhinagar,Q5520735,S06,6,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:6
GJ,Mahesana,Q6733840,S06,4,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:4
GJ,Bhavnagar,Q4901564,S06,15,GEN,country:in/state:gj,country:in/state:gj/lok-sabha:15
HP,Hamirpur,Q5645333,S08,3,GEN,country:in/state:hp,country:in/state:hp/lok-sabha:3
HP,Kangra,Q6362861,S08,1,GEN,country:in/state:hp,country:in/state:hp/lok-sabha:1
HP,Shimla,Q7496887,S08,4,SC,country:in/state:hp,country:in/state:hp/lok-sabha:4
HP,Mandi,Q6748042,S08,2,GEN,country:in/state:hp,country:in/state:hp/lok-sabha:2
HR,Ambala,Q4740955,S07,1,SC,country:in/state:hr,country:in/state:hr/lok-sabha:1
HR,Kurukshetra,Q6447358,S07,2,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:2
HR,Sirsa,Q7530618,S07,3,SC,country:in/state:hr,country:in/state:hr/lok-sabha:3
HR,Karnal,Q6372812,S07,5,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:5
HR,Sonipat,Q7561886,S07,6,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:6
HR,Hisar,Q12460611,S07,4,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:4
HR,Rohtak,Q7359839,S07,7,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:7
HR,Bhiwani-Mahendragarh,Q4901856,S07,8,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:8
HR,Gurgaon,Q5620004,S07,9,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:9
HR,Faridabad,Q5435282,S07,10,GEN,country:in/state:hr,country:in/state:hr/lok-sabha:10
JH,Jamshedpur,Q6148213,S27,9,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:9
JH,Singhbhum,Q3632303,S27,10,ST,country:in/state:jh,country:in/state:jh/lok-sabha:10
JH,Rajmahal,Q7286307,S27,1,ST,country:in/state:jh,country:in/state:jh/lok-sabha:1
JH,Dumka,Q5313895,S27,2,ST,country:in/state:jh,country:in/state:jh/lok-sabha:2
JH,Godda,Q5576233,S27,3,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:3
JH,Palamu,Q3632686,S27,13,SC,country:in/state:jh,country:in/state:jh/lok-sabha:13
JH,Hazaribagh,Q3632585,S27,14,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:14
JH,Dhanbad,Q5268930,S27,7,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:7
JH,Kodarma,Q6425227,S27,5,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:5
JH,Lohardaga,Q6667970,S27,12,ST,country:in/state:jh,country:in/state:jh/lok-sabha:12
JH,Khunti,Q6403035,S27,11,ST,country:in/state:jh,country:in/state:jh/lok-sabha:11
JH,Chatra,Q5087772,S27,4,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:4
JH,Ranchi,Q7290802,S27,8,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:8
JH,Giridih,Q5564263,S27,6,GEN,country:in/state:jh,country:in/state:jh/lok-sabha:6
JK,Ladakh,Q4252512,S09,4,GEN,country:in/state:jk,country:in/state:jk/lok-sabha:4
JK,Jammu,Q6147990,S09,6,GEN,country:in/state:jk,country:in/state:jk/lok-sabha:6
JK,Srinagar,Q7586418,S09,2,GEN,country:in/state:jk,country:in/state:jk/lok-sabha:2
JK,Anantnag,Q4751497,S09,3,GEN,country:in/state:jk,country:in/state:jk/lok-sabha:3
JK,Baramulla,Q4858316,S09,1,GEN,country:in/state:jk,country:in/state:jk/lok-sabha:1
JK,Udhampur,Q7877193,S09,5,GEN,country:in/state:jk,country:in/state:jk/lok-sabha:5
JK,,,,-1,,country:in/state:jk,country:in/state:jk/lok-sabha:-1
KA,Gulbarga,Q4172532,S10,5,SC,country:in/state:ka,country:in/state:ka/lok-sabha:5
KA,Bijapur,Q4907176,S10,4,SC,country:in/state:ka,country:in/state:ka/lok-sabha:4
KA,Chikkodi,Q3939251,S10,1,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:1
KA,Raichur,Q4172533,S10,6,ST,country:in/state:ka,country:in/state:ka/lok-sabha:6
KA,Koppal,Q4348317,S10,8,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:8
KA,Haveri,Q4628043,S10,10,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:10
KA,Davangere,Q4877000,S10,13,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:13
KA,Chikballapur,Q5097405,S10,27,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:27
KA,Udupi Chikmagalur,Q7877355,S10,15,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:15
KA,Tumkur,Q5245318,S10,19,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:19
KA,Kolar,Q6427060,S10,28,SC,country:in/state:ka,country:in/state:ka/lok-sabha:28
KA,Bangalore Rural Lok Sabha constituency,Q4855074,S10,23,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:23
KA,Dharwad,Q5269410,S10,11,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:11
KA,Bangalore North,Q4855069,S10,24,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:24
KA,Dakshina Kannada,Q5121423,S10,17,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:17
KA,Mysore,Q5332086,S10,21,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:21
KA,Chamarajanagar,Q5069470,S10,22,SC,country:in/state:ka,country:in/state:ka/lok-sabha:22
KA,Mandya,Q5187868,S10,20,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:20
KA,Bellary,Q3521014,S10,9,ST,country:in/state:ka,country:in/state:ka/lok-sabha:9
KA,Chitradurga,Q5102316,S10,18,SC,country:in/state:ka,country:in/state:ka/lok-sabha:18
KA,Bidar,Q3883318,S10,7,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:7
KA,Uttara Kannada,Q4756549,S10,12,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:12
KA,Shimoga,Q4876992,S10,14,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:14
KA,Haasan,Q5679532,S10,16,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:16
KA,Belagavi,Q3995921,S10,2,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:2
KA,Bangalore South,Q6509948,S10,26,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:26
KA,Bangalore Central,Q4855038,S10,25,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:25
KA,Bagalkot,Q4841427,S10,3,GEN,country:in/state:ka,country:in/state:ka/lok-sabha:3
KL,Malappuram,Q6741311,S11,6,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:6
KL,Pathanamthitta,Q7144692,S11,17,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:17
KL,Mavelikara,Q3595483,S11,16,SC,country:in/state:kl,country:in/state:kl/lok-sabha:16
KL,Thiruvananthapuram,Q7785502,S11,20,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:20
KL,Palakkad,Q3595511,S11,8,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:8
KL,Thrissur,Q3595199,S11,10,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:10
KL,Alathur,Q4708818,S11,9,SC,country:in/state:kl,country:in/state:kl/lok-sabha:9
KL,Kasaragod,Q3595257,S11,1,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:1
KL,Attingal,Q12413298,S11,19,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:19
KL,Vadakara,Q3595264,S11,3,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:3
KL,Kozhikode,Q3595239,S11,5,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:5
KL,Kannur,Q3595261,S11,2,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:2
KL,Chalakudy,Q3595248,S11,11,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:11
KL,Idukki,Q3595503,S11,13,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:13
KL,Alappuzha,Q3595510,S11,15,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:15
KL,Kottayam,Q3595519,S11,14,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:14
KL,Kollam,Q3595286,S11,18,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:18
KL,Ernakulam,Q3595497,S11,12,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:12
KL,Wayanad,Q7975848,S11,4,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:4
KL,Ponnani,Q3595235,S11,7,GEN,country:in/state:kl,country:in/state:kl/lok-sabha:7
MN,Inner Manipur,Q6035471,S14,1,GEN,country:in/state:mn,country:in/state:mn/lok-sabha:1
MN,Outer Manipur,Q7111989,S14,2,ST,country:in/state:mn,country:in/state:mn/lok-sabha:2
MP,Bhind,Q3634246,S12,2,SC,country:in/state:mp,country:in/state:mp/lok-sabha:2
MP,Balaghat,Q3633465,S12,15,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:15
MP,Hoshangabad,Q3634240,S12,17,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:17
MP,Dhar,Q3634185,S12,25,ST,country:in/state:mp,country:in/state:mp/lok-sabha:25
MP,Indore,Q3634194,S12,26,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:26
MP,Gwalior,Q3634165,S12,3,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:3
MP,Sidhi,Q7508585,S12,11,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:11
MP,Rajgarh,Q3632253,S12,20,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:20
MP,Sagar,Q7399007,S12,5,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:5
MP,Damoh,Q12433303,S12,7,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:7
MP,Shahdol,Q12453868,S12,12,ST,country:in/state:mp,country:in/state:mp/lok-sabha:12
MP,Dewas,Q15649259,S12,21,SC,country:in/state:mp,country:in/state:mp/lok-sabha:21
MP,Ujjain,Q3630725,S12,22,SC,country:in/state:mp,country:in/state:mp/lok-sabha:22
MP,Bhopal,Q4901994,S12,19,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:19
MP,Vidisha,Q7928100,S12,18,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:18
MP,Ratlam,Q7295816,S12,24,ST,country:in/state:mp,country:in/state:mp/lok-sabha:24
MP,Rewa,Q7319005,S12,10,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:10
MP,Satna,Q12455246,S12,9,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:9
MP,Mandsaur,Q6748216,S12,23,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:23
MP,Guna,Q3634168,S12,4,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:4
MP,Chhindwara,Q5094902,S12,16,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:16
MP,Betul,Q4899044,S12,29,ST,country:in/state:mp,country:in/state:mp/lok-sabha:29
MP,Khargone,Q279102,S12,27,ST,country:in/state:mp,country:in/state:mp/lok-sabha:27
MP,Jabalpur,Q6109952,S12,13,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:13
MP,Mandla,Q3630763,S12,14,ST,country:in/state:mp,country:in/state:mp/lok-sabha:14
MP,Morena,Q3663904,S12,1,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:1
MP,Tikamgarh,Q7801879,S12,6,SC,country:in/state:mp,country:in/state:mp/lok-sabha:6
MP,Khajuraho,Q3634359,S12,8,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:8
MP,Khandwa,Q3634216,S12,28,GEN,country:in/state:mp,country:in/state:mp/lok-sabha:28
ML,Tura (Lok Sabha constituency),Q7853631,S15,2,ST,country:in/state:ml,country:in/state:ml/lok-sabha:2
ML,Shillong (Lok Sabha constituency),Q7496680,S15,1,ST,country:in/state:ml,country:in/state:ml/lok-sabha:1
MH,Buldhana,Q4996106,S13,5,GEN,country:in/state:mh,country:in/state:mh/lok-sabha:5
MH,Madha,Q6727220,S13,43,GEN,country:in/state:mh,country:in/state:mh/lok-sabha:43
MH,Satara,Q3763891,S13,45,GEN,country:in/state:mh,country:in/state:mh/lok-sabha:45
MH,Jalgaon,Q6126754,S13,3,GEN,country:in/state:mh,country:in/state:mh/lok-sabha:3
MH,Akola (Lok Sabha Constituency),Q3764391,S13,6,GEN,country:in/state:mh,country:in/state:mh/lok-sabha:6
MH,Sangli,Q7418045,S13,44,GEN,country:in/state:mh,country:in/state:mh/lok-sabha:44
MH,Solapur,Q3764439,S13,42,SC,country:in/state:mh,country:in/state:mh/lok-sabha:42
MH,Amravati,Q3764491,S13,7,SC,country:in/state:mh,country:in/state:mh/lok-sabha:7
