ST_NAME,PC_NAME,WIKIDATA,ST_CODE,PC_CODE,Res,MS_FB_PARE,MS_FB
AN,Andaman and Nicobar Islands,Q3530684,U01,1,GEN,country:in/union-territory:an,country:in/union-territory:an/lok-sabha:1
AP,Zahirabad,Q8064692,S01,5,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:5
AP,Araku,Q3633068,S01,18,ST,country:in/state:ap,country:in/state:ap/lok-sabha:18
AP,Khammam,Q3764091,S01,17,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:17
AP,Medak,Q3764036,S01,6,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:6
AP,Anakapalli,Q3630236,S01,22,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:22
AP,Bhuvanagiri,Q4901952,S01,14,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:14
AP,Chevella,Q5094314,S01,10,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:10
AP,Srikakulam,Q3764487,S01,19,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:19
AP,Eluru,Q3764062,S01,27,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:27
AP,Secunderabad,Q3764327,S01,8,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:8
AP,Peddapalli,Q3764496,S01,2,SC,country:in/state:ap,country:in/state:ap/lok-sabha:2
AP,Rajahmundry,Q3764342,S01,25,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:25
AP,Nalgonda,Q3763969,S01,13,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:13
AP,Narsapuram,Q3763879,S01,26,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:26
AP,Nagarkurnool,Q3630009,S01,12,SC,country:in/state:ap,country:in/state:ap/lok-sabha:12
AP,Amalapuram,Q3630204,S01,24,SC,country:in/state:ap,country:in/state:ap/lok-sabha:24
AP,Narasaraopet,Q3764443,S01,31,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:31
AP,Machilipatnam,Q3765244,S01,28,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:28
AP,Guntur,Q3764410,S01,30,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:30
AP,Ongole,Q3764026,S01,33,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:33
AP,Bapatla,Q3630032,S01,32,SC,country:in/state:ap,country:in/state:ap/lok-sabha:32
AP,Kurnool,Q3763840,S01,35,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:35
AP,Karimnagar,Q3764353,S01,3,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:3
AP,Nizamabad,Q3764335,S01,4,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:4
AP,Vizianagaram,Q7938017,S01,20,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:20
AP,Kakinada,Q3764050,S01,23,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:23
AP,Adilabad,Q3630014,S01,1,ST,country:in/state:ap,country:in/state:ap/lok-sabha:1
AP,Rajampet,Q3764476,S01,41,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:41
AP,Nellore,Q3764509,S01,39,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:39
AP,Anantapuramu,Q3630239,S01,36,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:36
AP,Kadapa,Q3764405,S01,38,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:38
AP,Nandyal,Q3764367,S01,34,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:34
AP,Mahabubabad,Q6732720,S01,16,ST,country:in/state:ap,country:in/state:ap/lok-sabha:16
AP,Chittoor,Q3763885,S01,42,SC,country:in/state:ap,country:in/state:ap/lok-sabha:42
AP,Tirupati,Q3764514,S01,40,SC,country:in/state:ap,country:in/state:ap/lok-sabha:40
AP,Hindupur,Q3764429,S01,37,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:37
AP,Mahbubnagar,Q16556627,S01,11,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:11
AP,Vijayawada,Q3765236,S01,29,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:29
AP,Visakhapatnam,Q3763974,S01,21,GEN,country:in/state:ap,country:in/state:ap/lok-sabha:21
