ST_NAME,WIKIDATA,PC_CODE,PC_NAME,MS_FB,MS_FB_PARE,ST_CODE,Res,NAME_HI
AN,Q3530684,1,Andaman and Nicobar Islands,country:in/union-territory:an/lok-sabha:1,country:in/union-territory:an,U01,GEN,अण्डमान और निकोबार द्वीपसमूह लोक सभा निर्वाचन क्षेत्र
AP,Q8064692,5,Zahirabad,country:in/state:ap/lok-sabha:5,country:in/state:ap,S01,GEN,ज़हीराबाद लोक सभा निर्वाचन क्षेत्र सम्पादन
AP,Q3633068,18,Araku,country:in/state:ap/lok-sabha:18,country:in/state:ap,S01,ST,अराकु लोक सभा निर्वाचन क्षेत्र
AP,Q3764091,17,Khammam,country:in/state:ap/lok-sabha:17,country:in/state:ap,S01,GEN,खम्माम लोक सभा निर्वाचन क्षेत्र
AP,Q3764036,6,Medak,country:in/state:ap/lok-sabha:6,country:in/state:ap,S01,GEN,मेडक लोक सभा निर्वाचन क्षेत्र
AP,Q3630236,22,Anakapalli,country:in/state:ap/lok-sabha:22,country:in/state:ap,S01,GEN,अनकापल्ली लोक सभा निर्वाचन क्षेत्र
AP,Q4901952,14,Bhuvanagiri,country:in/state:ap/lok-sabha:14,country:in/state:ap,S01,GEN,भोंगीर लोक सभा निर्वाचन क्षेत्र
AP,Q5094314,10,Chevella,country:in/state:ap/lok-sabha:10,country:in/state:ap,S01,GEN,चेवेल्ला लोक सभा निर्वाचन क्षेत्र
AP,Q3764487,19,Srikakulam,country:in/state:ap/lok-sabha:19,country:in/state:ap,S01,GEN,श्रीकाकुलम लोक सभा निर्वाचन क्षेत्र
AP,Q3764062,27,Eluru,country:in/state:ap/lok-sabha:27,country:in/state:ap,S01,GEN,एलूरू लोक सभा निर्वाचन क्षेत्र
AP,Q3764327,8,Secunderabad,country:in/state:ap/lok-sabha:8,country:in/state:ap,S01,GEN,सिकन्दराबाद लोक सभा निर्वाचन क्षेत्र
AP,Q3764496,2,Peddapalli,country:in/state:ap/lok-sabha:2,country:in/state:ap,S01,SC,पेड्डापल्ले लोक सभा निर्वाचन क्षेत्र
AP,Q3764342,25,Rajahmundry,country:in/state:ap/lok-sabha:25,country:in/state:ap,S01,GEN,राजामुन्दरी लोक सभा निर्वाचन क्षेत्र
AP,Q3763969,13,Nalgonda,country:in/state:ap/lok-sabha:13,country:in/state:ap,S01,GEN,नालगौंडा लोक सभा निर्वाचन क्षेत्र
AP,Q3763879,26,Narsapuram,country:in/state:ap/lok-sabha:26,country:in/state:ap,S01,GEN,नरसापुरम लोक सभा निर्वाचन क्षेत्र
AP,Q3630009,12,Nagarkurnool,country:in/state:ap/lok-sabha:12,country:in/state:ap,S01,SC,नगर कुरनूल लोक सभा निर्वाचन क्षेत्र
AP,Q3630204,24,Amalapuram,country:in/state:ap/lok-sabha:24,country:in/state:ap,S01,SC,अमलापुरम लोक सभा निर्वाचन क्षेत्र
AP,Q3764443,31,Narasaraopet,country:in/state:ap/lok-sabha:31,country:in/state:ap,S01,GEN,नरसारावपेट लोक सभा निर्वाचन क्षेत्र
AP,Q3765244,28,Machilipatnam,country:in/state:ap/lok-sabha:28,country:in/state:ap,S01,GEN,मछलीपत्तनम लोक सभा निर्वाचन क्षेत्र
AP,Q3764410,30,Guntur,country:in/state:ap/lok-sabha:30,country:in/state:ap,S01,GEN,गुंटूर लोक सभा निर्वाचन क्षेत्र
AP,Q3764026,33,Ongole,country:in/state:ap/lok-sabha:33,country:in/state:ap,S01,GEN,ओंगोले लोक सभा निर्वाचन क्षेत्र
AP,Q3630032,32,Bapatla,country:in/state:ap/lok-sabha:32,country:in/state:ap,S01,SC,बापतला लोक सभा निर्वाचन क्षेत्र
AP,Q3763840,35,Kurnool,country:in/state:ap/lok-sabha:35,country:in/state:ap,S01,GEN,कुरनूल लोक सभा निर्वाचन क्षेत्र
AP,Q3764353,3,Karimnagar,country:in/state:ap/lok-sabha:3,country:in/state:ap,S01,GEN,करीमनगर लोक सभा निर्वाचन क्षेत्र
AP,Q3764335,4,Nizamabad,country:in/state:ap/lok-sabha:4,country:in/state:ap,S01,GEN,निजामाबाद लोक सभा निर्वाचन क्षेत्र
AP,Q7938017,20,Vizianagaram,country:in/state:ap/lok-sabha:20,country:in/state:ap,S01,GEN,विजियानगरम लोक सभा निर्वाचन क्षेत्र
AP,Q3764050,23,Kakinada,country:in/state:ap/lok-sabha:23,country:in/state:ap,S01,GEN,काकीनाड़ा लोक सभा निर्वाचन क्षेत्र
AP,Q3630014,1,Adilabad,country:in/state:ap/lok-sabha:1,country:in/state:ap,S01,ST,अदीलाबाद लोक सभा निर्वाचन क्षेत्र
AP,Q3764476,41,Rajampet,country:in/state:ap/lok-sabha:41,country:in/state:ap,S01,GEN,राजमपेट
AP,Q3764509,39,Nellore,country:in/state:ap/lok-sabha:39,country:in/state:ap,S01,GEN,नेल्लौर लोक सभा निर्वाचन क्षेत्र
AP,Q3630239,36,Anantapuramu,country:in/state:ap/lok-sabha:36,country:in/state:ap,S01,GEN,अनन्तपुर लोक सभा निर्वाचन क्षेत्र
AP,Q3764405,38,Kadapa,country:in/state:ap/lok-sabha:38,country:in/state:ap,S01,GEN,कडापा लोक सभा निर्वाचन क्षेत्र
AP,Q3764367,34,Nandyal,country:in/state:ap/lok-sabha:34,country:in/state:ap,S01,GEN,नांदयाल लोक सभा निर्वाचन क्षेत्र
AP,Q6732720,16,Mahabubabad,country:in/state:ap/lok-sabha:16,country:in/state:ap,S01,ST,महबूबाबाद लोक सभा निर्वाचन क्षेत्र
AP,Q3763885,42,Chittoor,country:in/state:ap/lok-sabha:42,country:in/state:ap,S01,SC,चित्तूर लोक सभा निर्वाचन क्षेत्र
AP,Q3764514,40,Tirupati,country:in/state:ap/lok-sabha:40,country:in/state:ap,S01,SC,तिरुपति लोक सभा निर्वाचन क्षेत्र
AP,Q3764429,37,Hindupur,country:in/state:ap/lok-sabha:37,country:in/state:ap,S01,GEN,हिन्दुपुर लोक सभा निर्वाचन क्षेत्र
AP,Q3630208,11,Mahabubnagar,country:in/state:ap/lok-sabha:11,country:in/state:ap,S01,GEN,
AP,Q3765236,29,Vijayawada,country:in/state:ap/lok-sabha:29,country:in/state:ap,S01,GEN,विजयवाड़ा लोक सभा निर्वाचन क्षेत्र
AP,Q3763974,21,Visakhapatnam,country:in/state:ap/lok-sabha:21,country:in/state:ap,S01,GEN,विशाखापत्तनम लोक सभा निर्वाचन क्षेत्र
AP,Q3763938,15,Warangal,country:in/state:ap/lok-sabha:15,country:in/state:ap,S01,SC,वारंगल लोक सभा निर्वाचन क्षेत्र
AP,Q3764307,9,Hyderabad,country:in/state:ap/lok-sabha:9,country:in/state:ap,S01,GEN,हैदराबाद लोक सभा निर्वाचन क्षेत्र
AP,Q6743862,7,Malkajgiri,country:in/state:ap/lok-sabha:7,country:in/state:ap,S01,GEN,मल्काजगिरि लोक सभा निर्वाचन क्षेत्र
AR,Q1659305,1,Arunachal West,country:in/state:ar/lok-sabha:1,country:in/state:ar,S02,GEN,अरुणाचल पश्चिम लोक सभा निर्वाचन क्षेत्र
AR,Q1659329,2,Arunachal East,country:in/state:ar/lok-sabha:2,country:in/state:ar,S02,GEN,अरुणाचल पूर्व लोक सभा निर्वाचन क्षेत्र
AS,Q1609659,14,Lakhimpur,country:in/state:as/lok-sabha:14,country:in/state:as,S03,GEN,लखीमपुर लोक सभा निर्वाचन क्षेत्र
AS,Q1606690,13,Dibrugarh,country:in/state:as/lok-sabha:13,country:in/state:as,S03,GEN,डिब्रुगढ़ लोक सभा निर्वाचन क्षेत्र
AS,Q6278852,12,Jorhat,country:in/state:as/lok-sabha:12,country:in/state:as,S03,GEN,जोरहाट लोक सभा निर्वाचन क्षेत्र
AS,Q1606703,9,Tezpur,country:in/state:as/lok-sabha:9,country:in/state:as,S03,GEN,तेजपुर लोक सभा निर्वाचन क्षेत्र
AS,Q1606642,11,Kaliabor,country:in/state:as/lok-sabha:11,country:in/state:as,S03,GEN,कलियाबोर लोक सभा निर्वाचन क्षेत्र
AS,Q1606654,8,Mangaldoi,country:in/state:as/lok-sabha:8,country:in/state:as,S03,GEN,मंगलदोई लोक सभा निर्वाचन क्षेत्र
AS,Q1606595,10,Nowgong,country:in/state:as/lok-sabha:10,country:in/state:as,S03,GEN,नौगांव लोक सभा निर्वाचन क्षेत्र
AS,Q1606679,3,Autonomous District,country:in/state:as/lok-sabha:3,country:in/state:as,S03,ST,स्वशासी जिला-असम लोक सभा निर्वाचन क्षेत्र
AS,Q1606616,4,Dhubri,country:in/state:as/lok-sabha:4,country:in/state:as,S03,GEN,धुबरी लोक सभा निर्वाचन क्षेत्र
AS,Q1606665,1,Karimganj,country:in/state:as/lok-sabha:1,country:in/state:as,S03,SC,करीमगंज लोक सभा निर्वाचन क्षेत्र
AS,Q1606626,2,Silchar,country:in/state:as/lok-sabha:2,country:in/state:as,S03,GEN,सिल्चर लोक सभा निर्वाचन क्षेत्र
AS,Q1606670,5,Kokrajhar,country:in/state:as/lok-sabha:5,country:in/state:as,S03,ST,कोकराझार लोक सभा निर्वाचन क्षेत्र
AS,Q1606633,7,Gauhati,country:in/state:as/lok-sabha:7,country:in/state:as,S03,GEN,गुवाहाटी लोक सभा निर्वाचन क्षेत्र
AS,Q1606606,6,Barpeta,country:in/state:as/lok-sabha:6,country:in/state:as,S03,GEN,बारपेटा लोक सभा निर्वाचन क्षेत्र
BR,Q3633305,15,Muzaffarpur,country:in/state:br/lok-sabha:15,country:in/state:br,S04,GEN,मुजफ्फरपुर लोक सभा निर्वाचन क्षेत्र
BR,Q7912496,1,Valmiki Nagar,country:in/state:br/lok-sabha:1,country:in/state:br,S04,GEN,वाल्मीकि नगर लोक सभा निर्वाचन क्षेत्र
BR,Q3632717,9,Araria,country:in/state:br/lok-sabha:9,country:in/state:br,S04,GEN,अररिया लोक सभा निर्वाचन क्षेत्र
BR,Q3633217,17,Gopalganj,country:in/state:br/lok-sabha:17,country:in/state:br,S04,SC,गोपालगंज लोक सभा निर्वाचन क्षेत्र
BR,Q7532526,18,Siwan,country:in/state:br/lok-sabha:18,country:in/state:br,S04,GEN,सीवान लोक सभा निर्वाचन क्षेत्र
BR,Q7908854,16,Vaishali,country:in/state:br/lok-sabha:16,country:in/state:br,S04,GEN,वैशाली लोक सभा निर्वाचन क्षेत्र
BR,Q6190886,7,Jhanjharpur,country:in/state:br/lok-sabha:7,country:in/state:br,S04,GEN,झंझारपुर लोक सभा निर्वाचन क्षेत्र
