ST_NAME,WIKIDATA,PC_CODE,PC_NAME,MS_FB,MS_FB_PARE,ST_CODE,Res,NAME_HI
BR,Q12457988,8,Supaul,country:in/state:br/lok-sabha:8,country:in/state:br,S04,GEN,सुपौल लोक सभा निर्वाचन क्षेत्र
BR,Q7141801,2,Paschim Champaran,country:in/state:br/lok-sabha:2,country:in/state:br,S04,GEN,पश्चिम चम्पारण लोक सभा निर्वाचन क्षेत्र
BR,Q3632704,6,Madhubani,country:in/state:br/lok-sabha:6,country:in/state:br,S04,GEN,मधुबनी लोक सभा निर्वाचन क्षेत्र
BR,Q12419668,10,Kishanganj,country:in/state:br/lok-sabha:10,country:in/state:br,S04,GEN,किशनगंज लोक सभा निर्वाचन क्षेत्र
BR,Q5222212,14,Darbhanga,country:in/state:br/lok-sabha:14,country:in/state:br,S04,GEN,दरभंगा लोक सभा निर्वाचन क्षेत्र
BR,Q3633423,12,Purnia,country:in/state:br/lok-sabha:12,country:in/state:br,S04,GEN,पूर्णिया लोक सभा निर्वाचन क्षेत्र
BR,Q6733273,19,Maharajganj (Bihar),country:in/state:br/lok-sabha:19,country:in/state:br,S04,GEN,महराजगंज (बिहार) लोकसभा निर्वाचन क्षेत्र
BR,Q6727343,13,Madhepura,country:in/state:br/lok-sabha:13,country:in/state:br,S04,GEN,मधेपुरा लोक सभा निर्वाचन क्षेत्र
BR,Q4880639,24,Begusarai,country:in/state:br/lok-sabha:24,country:in/state:br,S04,GEN,बेगूसराय लोक सभा निर्वाचन क्षेत्र
BR,Q3632604,32,Arrah,country:in/state:br/lok-sabha:32,country:in/state:br,S04,GEN,आरा लोक सभा निर्वाचन क्षेत्र
BR,Q3633377,34,Sasaram,country:in/state:br/lok-sabha:34,country:in/state:br,S04,SC,सासाराम लोक सभा निर्वाचन क्षेत्र
BR,Q3633321,39,Nawada,country:in/state:br/lok-sabha:39,country:in/state:br,S04,GEN,नवादा लोक सभा निर्वाचन क्षेत्र
BR,Q4856235,27,Banka,country:in/state:br/lok-sabha:27,country:in/state:br,S04,GEN,बांका लोक सभा निर्वाचन क्षेत्र
BR,Q6960794,29,Nalanda,country:in/state:br/lok-sabha:29,country:in/state:br,S04,GEN,नालन्दा लोक सभा निर्वाचन क्षेत्र
BR,Q3633289,11,Katihar,country:in/state:br/lok-sabha:11,country:in/state:br,S04,GEN,कटिहार लोक सभा निर्वाचन क्षेत्र
BR,Q7408890,23,Samastipur,country:in/state:br/lok-sabha:23,country:in/state:br,S04,SC,समस्तीपुर लोक सभा निर्वाचन क्षेत्र
BR,Q6398963,25,Khagaria,country:in/state:br/lok-sabha:25,country:in/state:br,S04,GEN,खगड़िया लोक सभा निर्वाचन क्षेत्र
BR,Q7144222,31,Pataliputra,country:in/state:br/lok-sabha:31,country:in/state:br,S04,GEN,पाटलिपुत्र लोक सभा निर्वाचन क्षेत्र
BR,Q5003234,33,Buxar,country:in/state:br/lok-sabha:33,country:in/state:br,S04,GEN,बक्सर लोक सभा निर्वाचन क्षेत्र
BR,Q7145114,30,Patna Sahib (Lok Sabha constituency),country:in/state:br/lok-sabha:30,country:in/state:br,S04,GEN,पटना साहिब लोक सभा निर्वाचन क्षेत्र
BR,Q3633257,26,Bhagalpur,country:in/state:br/lok-sabha:26,country:in/state:br,S04,GEN,भागलपुर लोक सभा निर्वाचन क्षेत्र
BR,Q3633242,28,Munger,country:in/state:br/lok-sabha:28,country:in/state:br,S04,GEN,मुंगेर लोक सभा निर्वाचन क्षेत्र
BR,Q7261669,3,Purvi Champaran,country:in/state:br/lok-sabha:3,country:in/state:br,S04,GEN,पूर्वी चम्पारण लोक सभा निर्वाचन क्षेत्र
BR,Q7494394,4,Sheohar,country:in/state:br/lok-sabha:4,country:in/state:br,S04,GEN,शिवहर लोक सभा निर्वाचन क्षेत्र
BR,Q7531640,5,Sitamarhi,country:in/state:br/lok-sabha:5,country:in/state:br,S04,GEN,सीतामढ़ी लोक सभा निर्वाचन क्षेत्र
BR,Q7878191,22,Ujiarpur,country:in/state:br/lok-sabha:22,country:in/state:br,S04,GEN,उजियारपुर लोक सभा निर्वाचन क्षेत्र
BR,Q3633148,21,Hajipur,country:in/state:br/lok-sabha:21,country:in/state:br,S04,SC,हाजीपुर लोक सभा निर्वाचन क्षेत्र
BR,Q6368090,35,Karakat,country:in/state:br/lok-sabha:35,country:in/state:br,S04,GEN,काराकाट लोक सभा निर्वाचन क्षेत्र
BR,Q7423046,20,Saran,country:in/state:br/lok-sabha:20,country:in/state:br,S04,GEN,सारण लोक सभा निर्वाचन क्षेत्र
BR,Q12428079,40,Jamui,country:in/state:br/lok-sabha:40,country:in/state:br,S04,SC,जमुई लोक सभा निर्वाचन क्षेत्र
BR,Q4822111,37,Aurangabad (Bihar),country:in/state:br/lok-sabha:37,country:in/state:br,S04,GEN,औरंगाबाद (बिहार) लोक सभा निर्वाचन क्षेत्र
BR,Q3633170,38,Gaya,country:in/state:br/lok-sabha:38,country:in/state:br,S04,SC,गया लोक सभा निर्वाचन क्षेत्र
BR,Q12428505,36,Jahanabad,country:in/state:br/lok-sabha:36,country:in/state:br,S04,GEN,जहानाबाद लोक सभा निर्वाचन क्षेत्र
CG,Q6154769,3,Janjgir,country:in/state:ct/lok-sabha:3,country:in/state:ct,S26,SC,जांजगीर-चंपा लोक सभा निर्वाचन क्षेत्र
CG,Q12449885,8,Raipur,country:in/state:ct/lok-sabha:8,country:in/state:ct,S26,GEN,रायपुर लोक सभा निर्वाचन क्षेत्र
CG,Q255234,1,Surguja,country:in/state:ct/lok-sabha:1,country:in/state:ct,S26,ST,सरगुजा लोक सभा निर्वाचन क्षेत्र
CG,Q4907564,5,Bilaspur,country:in/state:ct/lok-sabha:5,country:in/state:ct,S26,GEN,बिलासपुर लोक सभा निर्वाचन क्षेत्र
CG,Q7286332,6,Rajnandgaon,country:in/state:ct/lok-sabha:6,country:in/state:ct,S26,GEN,राजनन्दगांव लोक सभा निर्वाचन क्षेत्र
CG,Q3632662,7,Durg,country:in/state:ct/lok-sabha:7,country:in/state:ct,S26,GEN,दुर्ग लोक सभा निर्वाचन क्षेत्र
CG,Q12446106,9,Mahasamund,country:in/state:ct/lok-sabha:9,country:in/state:ct,S26,GEN,महासमुन्द लोक सभा निर्वाचन क्षेत्र
CG,Q7283824,2,Raigarh,country:in/state:ct/lok-sabha:2,country:in/state:ct,S26,ST,रायगड लोक सभा निर्वाचन क्षेत्र
CG,Q12418918,11,Kanker,country:in/state:ct/lok-sabha:11,country:in/state:ct,S26,ST,कांकेर लोक सभा निर्वाचन क्षेत्र
CG,Q4868222,10,Bastar,country:in/state:ct/lok-sabha:10,country:in/state:ct,S26,ST,बस्तर लोक सभा निर्वाचन क्षेत्र
CG,Q6431463,4,Korba,country:in/state:ct/lok-sabha:4,country:in/state:ct,S26,GEN,कोरबा लोक सभा निर्वाचन क्षेत्र
CH,Q5071061,1,Chandigarh,country:in/union-territory:ch/lok-sabha:1,country:in/union-territory:ch,U02,GEN,
DD,Q5211945,1,Daman and Diu,country:in/union-territory:dd/lok-sabha:1,country:in/union-territory:dd,U04,GEN,दमन और दीव लोक सभा निर्वाचन क्षेत्र
DL,Q7984938,6,West Delhi,country:in/union-territory:dl/lok-sabha:6,country:in/union-territory:dl,U05,GEN,पश्चिम दिल्ली लोकसभा निर्वाचन क्षेत्र
DL,Q7057245,5,North West Delhi,country:in/union-territory:dl/lok-sabha:5,country:in/union-territory:dl,U05,SC,उत्तर पश्चिम दिल्ली लोकसभा निर्वाचन क्षेत्र
DL,Q5071226,1,Chandni Chowk,country:in/union-territory:dl/lok-sabha:1,country:in/union-territory:dl,U05,GEN,चाँदनी चौक लोकसभा निर्वाचन क्षेत्र
DL,Q7055185,2,North East Delhi,country:in/union-territory:dl/lok-sabha:2,country:in/union-territory:dl,U05,GEN,उत्तर पूर्वी दिल्ली लोकसभा निर्वाचन क्षेत्र
DL,Q7567023,7,South Delhi,country:in/union-territory:dl/lok-sabha:7,country:in/union-territory:dl,U05,GEN,दक्षिण दिल्ली
DL,Q5328213,3,East Delhi,country:in/union-territory:dl/lok-sabha:3,country:in/union-territory:dl,U05,GEN,पूर्वी दिल्ली लोकसभा निर्वाचन क्षेत्र
DL,Q13118215,4,New Delhi,country:in/union-territory:dl/lok-sabha:4,country:in/union-territory:dl,U05,GEN,नई दिल्ली लोकसभा निर्वाचन क्षेत्र
DN,Q5208111,1,Dadra and Nagar Haveli,country:in/union-territory:dn/lok-sabha:1,country:in/union-territory:dn,U03,ST,दादरा और नगर हवेली लोक सभा निर्वाचन क्षेत्र
GA,Q7567370,2,South Goa,country:in/state:ga/lok-sabha:2,country:in/state:ga,S05,GEN,दक्षिण गोवा लोक सभा निर्वाचन क्षेत्र
GA,Q12416142,1,North Goa,country:in/state:ga/lok-sabha:1,country:in/state:ga,S05,GEN,उत्तर गोवा लोक सभा निर्वाचन क्षेत्र
GJ,Q4860193,23,Bardoli,country:in/state:gj/lok-sabha:23,country:in/state:gj,S06,ST,बारडोली लोक सभा निर्वाचन क्षेत्र
GJ,Q6311592,13,Junagadh,country:in/state:gj/lok-sabha:13,country:in/state:gj,S06,GEN,जूनागढ़ लोक सभा निर्वाचन क्षेत्र
GJ,Q7645435,24,Surat,country:in/state:gj/lok-sabha:24,country:in/state:gj,S06,GEN,सूरत लोक सभा निर्वाचन क्षेत्र
GJ,Q6401180,17,Kheda,country:in/state:gj/lok-sabha:17,country:in/state:gj,S06,GEN,खेडा लोक सभा निर्वाचन क्षेत्र
GJ,Q3764468,8,Ahmedabad West,country:in/state:gj/lok-sabha:8,country:in/state:gj,S06,SC,अहमदाबाद पश्चिम लोक सभा निर्वाचन क्षेत्र
GJ,Q6148068,12,Jamnagar,country:in/state:gj/lok-sabha:12,country:in/state:gj,S06,GEN,जामनगर लोक सभा निर्वाचन क्षेत्र
GJ,Q7395911,5,Sabarkantha,country:in/state:gj/lok-sabha:5,country:in/state:gj,S06,GEN,साबरकंठा लोक सभा निर्वाचन क्षेत्र
GJ,Q3764387,2,Banaskantha,country:in/state:gj/lok-sabha:2,country:in/state:gj,S06,GEN,बनासकांठा लोक सभा निर्वाचन क्षेत्र
GJ,Q7144231,3,Patan,country:in/state:gj/lok-sabha:3,country:in/state:gj,S06,GEN,पाटन लोक सभा निर्वाचन क्षेत्र
GJ,Q7130343,18,Panchmahal,country:in/state:gj/lok-sabha:18,country:in/state:gj,S06,GEN,पंचमहल लोक सभा निर्वाचन क्षेत्र
GJ,Q5208930,19,Dahod,country:in/state:gj/lok-sabha:19,country:in/state:gj,S06,ST,दोहद लोक सभा निर्वाचन क्षेत्र
GJ,Q7908337,20,Vadodara,country:in/state:gj/lok-sabha:20,country:in/state:gj,S06,GEN,वडोदरा लोक सभा निर्वाचन क्षेत्र
GJ,Q4751232,16,Anand,country:in/state:gj/lok-sabha:16,country:in/state:gj,S06,GEN,आनन्द लोक सभा निर्वाचन क्षेत्र
GJ,Q3765227,14,Amreli,country:in/state:gj/lok-sabha:14,country:in/state:gj,S06,GEN,अमरेली लोक सभा निर्वाचन क्षेत्र
GJ,Q4696121,7,Ahmedabad East,country:in/state:gj/lok-sabha:7,country:in/state:gj,S06,GEN,अहमदाबाद पूर्व लोक सभा निर्वाचन क्षेत्र
GJ,Q11222818,10,Rajkot,country:in/state:gj/lok-sabha:10,country:in/state:gj,S06,GEN,राजकोट लोक सभा निर्वाचन क्षेत्र
GJ,Q7645700,9,Surendranagar,country:in/state:gj/lok-sabha:9,country:in/state:gj,S06,GEN,सुरेन्द्रनगर लोक सभा निर्वाचन क्षेत्र
GJ,Q6982569,25,Navsari,country:in/state:gj/lok-sabha:25,country:in/state:gj,S06,GEN,नवसारी लोक सभा निर्वाचन क्षेत्र
GJ,Q4901329,22,Bharuch,country:in/state:gj/lok-sabha:22,country:in/state:gj,S06,GEN,भरूच लोक सभा निर्वाचन क्षेत्र
GJ,Q5094957,21,Chhota Udaipur,country:in/state:gj/lok-sabha:21,country:in/state:gj,S06,ST,छोटा उदयपुर लोक सभा निर्वाचन क्षेत्र
GJ,Q7229961,11,Porbandar,country:in/state:gj/lok-sabha:11,country:in/state:gj,S06,GEN,पोरबंदर लोक सभा निर्वाचन क्षेत्र
GJ,Q7912607,26,Valsad,country:in/state:gj/lok-sabha:26,country:in/state:gj,S06,ST,वलसाड लोक सभा निर्वाचन क्षेत्र
GJ,Q5520735,6,Gandhinagar,country:in/state:gj/lok-sabha:6,country:in/state:gj,S06,GEN,गांधीनगर लोक सभा निर्वाचन क्षेत्र
GJ,Q6733840,4,Mahesana,country:in/state:gj/lok-sabha:4,country:in/state:gj,S06,GEN,मेहसाना लोक सभा निर्वाचन क्षेत्र
GJ,Q4901564,15,Bhavnagar,country:in/state:gj/lok-sabha:15,country:in/state:gj,S06,GEN,भावनगर लोक सभा निर्वाचन क्षेत्र
HP,Q5645333,3,Hamirpur,country:in/state:hp/lok-sabha:3,country:in/state:hp,S08,GEN,हमीरपुर (उत्तर प्रदेश) लोक सभा निर्वाचन क्षेत्र
HP,Q6362861,1,Kangra,country:in/state:hp/lok-sabha:1,country:in/state:hp,S08,GEN,कांगड़ा लोक सभा निर्वाचन क्षेत्र
HP,Q7496887,4,Shimla,country:in/state:hp/lok-sabha:4,country:in/state:hp,S08,SC,शिमला लोक सभा निर्वाचन क्षेत्र
HP,Q6748042,2,Mandi,country:in/state:hp/lok-sabha:2,country:in/state:hp,S08,GEN,मंडी लोक सभा निर्वाचन क्षेत्र
HR,Q4740955,1,Ambala,country:in/state:hr/lok-sabha:1,country:in/state:hr,S07,SC,अम्बाला लोक सभा निर्वाचन क्षेत्र
HR,Q6447358,2,Kurukshetra,country:in/state:hr/lok-sabha:2,country:in/state:hr,S07,GEN,कुरुक्षेत्र
HR,Q7530618,3,Sirsa,country:in/state:hr/lok-sabha:3,country:in/state:hr,S07,SC,सिरसा लोक सभा निर्वाचन क्षेत्र
HR,Q6372812,5,Karnal,country:in/state:hr/lok-sabha:5,country:in/state:hr,S07,GEN,करनाल लोक सभा निर्वाचन क्षेत्र
HR,Q7561886,6,Sonipat,country:in/state:hr/lok-sabha:6,country:in/state:hr,S07,GEN,सोनीपत लोक सभा निर्वाचन क्षेत्र
HR,Q12460611,4,Hisar,country:in/state:hr/lok-sabha:4,country:in/state:hr,S07,GEN,हिसार लोक सभा निर्वाचन क्षेत्र
HR,Q7359839,7,Rohtak,country:in/state:hr/lok-sabha:7,country:in/state:hr,S07,GEN,रोहतक लोक सभा निर्वाचन क्षेत्र
HR,Q4901856,8,Bhiwani-Mahendragarh,country:in/state:hr/lok-sabha:8,country:in/state:hr,S07,GEN,भिवानी महेन्द्रगढ़ लोक सभा निर्वाचन क्षेत्र
HR,Q5620004,9,Gurgaon,country:in/state:hr/lok-sabha:9,country:in/state:hr,S07,GEN,गुड़गांव लोक सभा निर्वाचन क्षेत्र
HR,Q5435282,10,Faridabad,country:in/state:hr/lok-sabha:10,country:in/state:hr,S07,GEN,फरीदाबाद लोक सभा निर्वाचन क्षेत्र
JH,Q6148213,9,Jamshedpur,country:in/state:jh/lok-sabha:9,country:in/state:jh,S27,GEN,जमशेदपुर लोक सभा निर्वाचन क्षेत्र
JH,Q3632303,10,Singhbhum,country:in/state:jh/lok-sabha:10,country:in/state:jh,S27,ST,सिंहभूम लोक सभा निर्वाचन क्षेत्र
JH,Q7286307,1,Rajmahal,country:in/state:jh/lok-sabha:1,country:in/state:jh,S27,ST,राजमहल लोक सभा निर्वाचन क्षेत्र
JH,Q5313895,2,Dumka,country:in/state:jh/lok-sabha:2,country:in/state:jh,S27,ST,दुमका लोक सभा निर्वाचन क्षेत्र
JH,Q5576233,3,Godda,country:in/state:jh/lok-sabha:3,country:in/state:jh,S27,GEN,गोड्डा लोक सभा निर्वाचन क्षेत्र
JH,Q3632686,13,Palamu,country:in/state:jh/lok-sabha:13,country:in/state:jh,S27,SC,पलामू लोक सभा निर्वाचन क्षेत्र
JH,Q3632585,14,Hazaribagh,country:in/state:jh/lok-sabha:14,country:in/state:jh,S27,GEN,हजारीबाग लोक सभा निर्वाचन क्षेत्र
JH,Q5268930,7,Dhanbad,country:in/state:jh/lok-sabha:7,country:in/state:jh,S27,GEN,धनबाद लोक सभा निर्वाचन क्षेत्र
JH,Q6425227,5,Kodarma,country:in/state:jh/lok-sabha:5,country:in/state:jh,S27,GEN,कोडरमा लोक सभा निर्वाचन क्षेत्र
JH,Q6667970,12,Lohardaga,country:in/state:jh/lok-sabha:12,country:in/state:jh,S27,ST,लोहरदगा लोक सभा निर्वाचन क्षेत्र
JH,Q6403035,11,Khunti,country:in/state:jh/lok-sabha:11,country:in/state:jh,S27,ST,खूँटी लोक सभा निर्वाचन क्षेत्र
JH,Q5087772,4,Chatra,country:in/state:jh/lok-sabha:4,country:in/state:jh,S27,GEN,चतरा लोक सभा निर्वाचन क्षेत्र
JH,Q7290802,8,Ranchi,country:in/state:jh/lok-sabha:8,country:in/state:jh,S27,GEN,राँची लोक सभा निर्वाचन क्षेत्र
JH,Q5564263,6,Giridih,country:in/state:jh/lok-sabha:6,country:in/state:jh,S27,GEN,गिरिडीह लोक सभा निर्वाचन क्षेत्र
