OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,11,SIKKIM,1,NORTH,31,Lachen Mangan(BL),Lachen mangan,Q55720444,1,SIKKIM,1101,,1.15600747664,0.01267721149,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:31
1,11,SIKKIM,1,NORTH,30,Djongu(BL),Djongu,Q55720443,1,SIKKIM,1101,,1.01994296617,0.01428377458,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:30
1,11,SIKKIM,1,NORTH,29,Kabi Lungchuk(BL),Kabi lungchuk,Q55720442,1,SIKKIM,1101,,0.46421439886,0.0071061884,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:29
1,11,SIKKIM,4,EAST,28,Upper Burtuk,Upper burtuk,Q55720438,1,SIKKIM,1101,,0.2741464313,0.00293216999,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:28
1,11,SIKKIM,4,EAST,27,Gangtok(BL),Gangtok,Q55720437,1,SIKKIM,1101,,0.07463019659,0.00031675756,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:27
1,11,SIKKIM,4,EAST,26,Arithang,Arithang,Q55720436,1,SIKKIM,1101,,0.0674337088,0.00017029853,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:26
1,11,SIKKIM,4,EAST,25,Upper Tadong,Upper tadong,Q55720435,1,SIKKIM,1101,,0.07530886701,0.00029102061,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:25
1,11,SIKKIM,4,EAST,24,Martam-Rumtek (BL),Martam-rumtek,Q55720434,1,SIKKIM,1101,,0.4084922121,0.00579919149,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:24
1,11,SIKKIM,4,EAST,23,Shyari(BL),Shyari,Q55720433,1,SIKKIM,1101,,0.27845681733,0.00274766549,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:23
1,11,SIKKIM,4,EAST,22,Namcheybung,Namcheybung,Q55720432,1,SIKKIM,1101,,0.49076812322,0.0058483221,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:22
1,11,SIKKIM,4,EAST,21,Gnathang-Machong(BL),Gnathang-machong,Q55720431,1,SIKKIM,1101,,0.64196345635,0.005560249,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:21
