OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
0,11,SIKKIM,1,NORTH,0,,0,,1100,,4.78273593686,0.35269107203,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:0
1,11,SIKKIM,1,NORTH,31,Lachen Mangan(BL),1,SIKKIM,1101,,1.15600747664,0.01267721149,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:31
0,11,SIKKIM,2,WEST,0,,0,,1100,,2.25449819789,0.06278153344,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:0
1,11,SIKKIM,1,NORTH,30,Djongu(BL),1,SIKKIM,1101,,1.01994296617,0.01428377458,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:30
0,11,SIKKIM,3,SOUTH,0,,0,,1100,,0.85074290314,0.02118518209,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:0
1,11,SIKKIM,1,NORTH,29,Kabi Lungchuk(BL),1,SIKKIM,1101,,0.46421439886,0.0071061884,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:29
0,11,SIKKIM,4,EAST,0,,0,,1100,,1.43148135361,0.03626558178,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:0
1,11,SIKKIM,3,SOUTH,9,Barfung(BL),1,SIKKIM,1101,,0.62124183212,0.00904165085,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:9
1,11,SIKKIM,2,WEST,1,Yoksam-Tashiding(BL),1,SIKKIM,1101,,0.66753085831,0.00974815421,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:1
1,11,SIKKIM,4,EAST,29,Kabi Lungchuk(BL),1,SIKKIM,1101,,0.33688542052,0.00222502238,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:29
1,11,SIKKIM,4,EAST,16,Tumen-Lingi(BL),1,SIKKIM,1101,,0.48297589876,0.00660211345,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:16
1,11,SIKKIM,3,SOUTH,16,Tumen-Lingi(BL),1,SIKKIM,1101,,0.21042965569,0.00196542844,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:16
1,11,SIKKIM,4,EAST,28,Upper Burtuk,1,SIKKIM,1101,,0.2741464313,0.00293216999,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:28
1,11,SIKKIM,4,EAST,23,Shyari(BL),1,SIKKIM,1101,,0.27845681733,0.00274766549,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:23
1,11,SIKKIM,2,WEST,2,Yangthang,1,SIKKIM,1101,,0.57258382242,0.00690775358,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:2
1,11,SIKKIM,4,EAST,27,Gangtok(BL),1,SIKKIM,1101,,0.07463019659,0.00031675756,country:in/state:sk,SK,country:in/state:sk/assembly-constituency:27
