OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
3,19,WEST BENGAL,3,KOCH BIHAR,1,MEKLIGANJ (SC),Mekliganj,Q6810589,3,JALPAIGURI (SC),1903,,3.64651622582,0.04691936236,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:1
1,19,WEST BENGAL,3,KOCH BIHAR,2,MATHABHANGA (SC),Mathabhanga,Q6786783,1,COOCHBEHAR (SC),1901,,1.32905669747,0.03310685903,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:2
1,19,WEST BENGAL,3,KOCH BIHAR,3,COOCHBEHAR UTTAR (SC),Cooch Behar Uttar,Q5166816,1,COOCHBEHAR (SC),1901,,1.12302849062,0.03483544778,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:3
1,19,WEST BENGAL,3,KOCH BIHAR,4,COOCHBEHAR DAKSHIN,Cooch Behar Dakshin,Q5166806,1,COOCHBEHAR (SC),1901,,0.86103586852,0.02355507449,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:4
1,19,WEST BENGAL,3,KOCH BIHAR,5,SITALKUCHI (SC),Sitalkuchi,Q7531633,1,COOCHBEHAR (SC),1901,,1.85827798495,0.04601088174,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:5
1,19,WEST BENGAL,3,KOCH BIHAR,6,SITAI (SC),Sitai,Q7531601,1,COOCHBEHAR (SC),1901,,1.3080772431,0.03807337344,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:6
1,19,WEST BENGAL,3,KOCH BIHAR,7,DINHATA,Dinhata,Q5278309,1,COOCHBEHAR (SC),1901,,1.65021744915,0.02631610303,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:7
1,19,WEST BENGAL,3,KOCH BIHAR,8,NATABARI,Natabari,Q6967917,1,COOCHBEHAR (SC),1901,,1.16263255151,0.02797972586,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:8
2,19,WEST BENGAL,3,KOCH BIHAR,9,TUFANGANJ,Tufanganj,Q7851451,2,ALIPURDUARS (ST),1902,,1.90810309197,0.0331308333,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:9
2,19,WEST BENGAL,2,JALPAIGURI,10,KUMARGRAM (ST),Kumargram,Q6443589,2,ALIPURDUARS (ST),1902,,1.65815350938,0.06226488697,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:10
2,19,WEST BENGAL,2,JALPAIGURI,11,KALCHINI (ST),Kalchini,Q15232991,2,ALIPURDUARS (ST),1902,,1.55127204107,0.0842557229,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:11
2,19,WEST BENGAL,2,JALPAIGURI,12,ALIPURDUARS,Alipurduars,Q4726843,2,ALIPURDUARS (ST),1902,,1.54818268062,0.03849299689,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:12
2,19,WEST BENGAL,2,JALPAIGURI,13,FALAKATA (SC),Falakata,Q5431635,2,ALIPURDUARS (ST),1902,,1.19001326395,0.03513660696,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:13
2,19,WEST BENGAL,2,JALPAIGURI,14,MADARIHAT (ST),Madarihat,Q6726513,2,ALIPURDUARS (ST),1902,,1.12235585987,0.03830817784,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:14
3,19,WEST BENGAL,2,JALPAIGURI,15,DHUPGURI (SC),Dhupguri,Q15213911,3,JALPAIGURI (SC),1903,,1.28205371187,0.04012602356,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:15
3,19,WEST BENGAL,2,JALPAIGURI,16,MAYNAGURI (SC),Maynaguri,Q6797371,3,JALPAIGURI (SC),1903,,1.17006228131,0.04867201078,country:in/state:wb,WB,country:in/state:wb/assembly-constituency:16
