OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,1,JAMMU & KASHMIR,1,KUPWARA,1,KARNAH,Q55432140,1,BARAMULLA,0,Pre delimitation,3.07876085072,0.1660167794,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:1
1,1,JAMMU & KASHMIR,1,KUPWARA,2,KUPWARA,Q55432141,1,BARAMULLA,0,Pre delimitation,1.87537199742,0.02486825334,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:2
1,1,JAMMU & KASHMIR,1,KUPWARA,3,LOLAB,Q55432142,1,BARAMULLA,0,Pre delimitation,1.44028446935,0.081810634,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:3
1,1,JAMMU & KASHMIR,1,KUPWARA,4,HANDWARA,Q55432143,1,BARAMULLA,0,Pre delimitation,2.10111467349,0.04707157186,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:4
1,1,JAMMU & KASHMIR,1,KUPWARA,5,LANGATE,Q55432144,1,BARAMULLA,0,Pre delimitation,1.55777038137,0.03740659892,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:5
1,1,JAMMU & KASHMIR,2,BARAMULA,6,URI,Q55432145,1,BARAMULLA,0,Pre delimitation,1.70361003969,0.0780211994,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:6
1,1,JAMMU & KASHMIR,2,BARAMULA,7,RAFIABAD,Q30599397,1,BARAMULLA,0,Pre delimitation,0.891245953,0.03064681859,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:7
1,1,JAMMU & KASHMIR,2,BARAMULA,8,SOPORE,Q55432146,1,BARAMULLA,0,Pre delimitation,0.65210399984,0.01908841997,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:8
1,1,JAMMU & KASHMIR,2,BARAMULA,9,GUREZ,Q55432147,1,BARAMULLA,0,Pre delimitation,2.06963314796,0.1010662718,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:9
1,1,JAMMU & KASHMIR,2,BARAMULA,10,BANDIPORA,Q55432148,1,BARAMULLA,0,Pre delimitation,1.71617874101,0.09091835884,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:10
1,1,JAMMU & KASHMIR,2,BARAMULA,11,SONAWARI,Q55432150,1,BARAMULLA,0,Pre delimitation,0.9600846931,0.02920664274,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:11
1,1,JAMMU & KASHMIR,2,BARAMULA,12,SANGRAMA,Q55432151,1,BARAMULLA,0,Pre delimitation,0.91523316954,0.01401694096,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:12
1,1,JAMMU & KASHMIR,2,BARAMULA,13,BARAMULA,Q55432152,1,BARAMULLA,0,Pre delimitation,0.97608708236,0.02103458856,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:13
1,1,JAMMU & KASHMIR,2,BARAMULA,14,GULMARG,Q55432153,1,BARAMULLA,0,Pre delimitation,1.4292500835,0.04337307594,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:14
1,1,JAMMU & KASHMIR,2,BARAMULA,15,PATTAN,Q55432154,1,BARAMULLA,0,Pre delimitation,0.90234836767,0.01110612428,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:15
2,1,JAMMU & KASHMIR,3,SRINAGAR,16,KANGAN,Q55432155,2,SRINAGAR,0,Pre delimitation,2.23994838433,0.11308428127,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:16
2,1,JAMMU & KASHMIR,3,SRINAGAR,17,GANDERBAL,Q55432156,2,SRINAGAR,0,Pre delimitation,1.25736601463,0.03210265789,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:17
2,1,JAMMU & KASHMIR,3,SRINAGAR,18,HAZRATBAL,Q55432157,2,SRINAGAR,0,Pre delimitation,0.54040144287,0.0062138534,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:18
2,1,JAMMU & KASHMIR,3,SRINAGAR,19,ZADIBAL,Q55432159,2,SRINAGAR,0,Pre delimitation,0.26072785483,0.00321750555,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:19
2,1,JAMMU & KASHMIR,3,SRINAGAR,20,EIDGAH,Q55432161,2,SRINAGAR,0,Pre delimitation,0.24699967453,0.00354642783,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:20
2,1,JAMMU & KASHMIR,3,SRINAGAR,21,KHANIYAR,Q55432163,2,SRINAGAR,0,Pre delimitation,0.29219501768,0.00365330559,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:21
2,1,JAMMU & KASHMIR,3,SRINAGAR,22,HABBA KADA,Q55432164,2,SRINAGAR,0,Pre delimitation,0.27856983526,0.00142533806,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:22
2,1,JAMMU & KASHMIR,3,SRINAGAR,23,AMIRA KADA,Q55432165,2,SRINAGAR,0,Pre delimitation,0.05666678988,0.00014669139,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:23
2,1,JAMMU & KASHMIR,3,SRINAGAR,24,SONAWAR,Q55432166,2,SRINAGAR,0,Pre delimitation,0.40313371151,0.00681745014,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:24
2,1,JAMMU & KASHMIR,3,SRINAGAR,25,BATAMALOO,Q55432168,2,SRINAGAR,0,Pre delimitation,0.58962017008,0.00612451081,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:25
2,1,JAMMU & KASHMIR,4,BADGAM,26,CHADOORA,Q55432169,2,SRINAGAR,0,Pre delimitation,0.51983111521,0.00717744932,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:26
2,1,JAMMU & KASHMIR,4,BADGAM,27,BADGAM,Q55432170,2,SRINAGAR,0,Pre delimitation,0.67057006256,0.01185987575,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:27
2,1,JAMMU & KASHMIR,4,BADGAM,28,BEERWAH,Q55432171,2,SRINAGAR,0,Pre delimitation,0.39019489687,0.00450833106,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:28
2,1,JAMMU & KASHMIR,4,BADGAM,29,KHAN SAHEB,Q55432172,2,SRINAGAR,0,Pre delimitation,1.57126557792,0.05369876097,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:29
2,1,JAMMU & KASHMIR,4,BADGAM,30,CHRAR SHAR,Q55432173,2,SRINAGAR,0,Pre delimitation,1.08328090665,0.03134605477,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:30
3,1,JAMMU & KASHMIR,5,PULWAMA,31,TRAL,Q55432174,3,ANANTANAG,0,Pre delimitation,1.03252270062,0.03337226499,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:31
3,1,JAMMU & KASHMIR,5,PULWAMA,32,PAMPORE,Q55432175,3,ANANTANAG,0,Pre delimitation,1.10243482441,0.02419974347,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:32
3,1,JAMMU & KASHMIR,5,PULWAMA,33,PULWAMA,Q55432176,3,ANANTANAG,0,Pre delimitation,0.81038747722,0.01309343477,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:33
3,1,JAMMU & KASHMIR,5,PULWAMA,34,RAJPORA,Q30594229,3,ANANTANAG,0,Pre delimitation,0.96935623244,0.01731358036,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:34
3,1,JAMMU & KASHMIR,5,PULWAMA,35,WACHI,Q55432177,3,ANANTANAG,0,Pre delimitation,0.97910963973,0.0173451232,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:35
3,1,JAMMU & KASHMIR,5,PULWAMA,36,SHOPIAN,Q55432178,3,ANANTANAG,0,Pre delimitation,1.14020516809,0.03206386112,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:36
3,1,JAMMU & KASHMIR,6,ANANTNAG,37,NOORABAD,Q55432179,3,ANANTANAG,0,Pre delimitation,1.75827524693,0.08766341712,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:37
