ST_NM,TYPE,MS_FB,MS_FB_PARE,WIKIDATA,ST_CODE,NAME_HI
Arunachal Pradesh,State,country:in/state:ar,country:in,Q1162,AR,अरुणाचल प्रदेश
Assam,State,country:in/state:as,country:in,Q1164,AS,असम
Bihar,State,country:in/state:br,country:in,Q1165,BR,बिहार
Chhattisgarh,State,country:in/state:ct,country:in,Q1168,CT,छत्तीसगढ़
Goa,State,country:in/state:ga,country:in,Q1171,GA,गोआ
Gujarat,State,country:in/state:gj,country:in,Q1061,GJ,गुजरात
Haryana,State,country:in/state:hr,country:in,Q1174,HR,हरियाणा
Himachal Pradesh,State,country:in/state:hp,country:in,Q1177,HP,हिमाचल प्रदेश
Jammu and Kashmir,State,country:in/state:jk,country:in,Q1180,JK,जम्मू और कश्मीर
Jharkhand,State,country:in/state:jh,country:in,Q1184,JH,झारखण्ड
Karnataka,State,country:in/state:ka,country:in,Q1185,KA,कर्नाटक
Kerala,State,country:in/state:kl,country:in,Q1186,KL,केरल
Madhya Pradesh,State,country:in/state:mp,country:in,Q1188,MP,मध्य प्रदेश
Maharashtra,State,country:in/state:mh,country:in,Q1191,MH,महाराष्ट्र
Manipur,State,country:in/state:mn,country:in,Q1193,MN,मणिपुर
Meghalaya,State,country:in/state:ml,country:in,Q1195,ML,मेघालय
Mizoram,State,country:in/state:mz,country:in,Q1502,MZ,मिज़ोरम
Nagaland,State,country:in/state:nl,country:in,Q1599,NL,नागालैण्ड
Delhi,Union Territory,country:in/territory:dl,country:in,Q1353,DL,दिल्ली
Puducherry,Union Territory,country:in/territory:py,country:in,Q66743,PY,पुदुच्चेरी
Punjab,State,country:in/state:pb,country:in,Q22424,PB,पंजाब
Rajasthan,State,country:in/state:rj,country:in,Q1437,RJ,राजस्थान
Sikkim,State,country:in/state:sk,country:in,Q1505,SK,सिक्किम
Tamil Nadu,State,country:in/state:tn,country:in,Q1445,TN,तमिल नाडु
Telangana,State,country:in/state:tg,country:in,Q677037,TG,तेलंगाना
Tripura,State,country:in/state:tr,country:in,Q1363,TR,त्रिपुरा
Uttar Pradesh,State,country:in/state:up,country:in,Q1498,UP,उत्तर प्रदेश
Uttarakhand,State,country:in/state:ut,country:in,Q1499,UT,उत्तराखण्ड
West Bengal,State,country:in/state:wb,country:in,Q1356,WB,पश्चिम बंगाल
Odisha,State,country:in/state:or,country:in,Q22048,OR,ओडिशा
Andhra Pradesh,State,country:in/state:ap,country:in,Q1159,AP,आन्ध्र प्रदेश
