OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,6,HARYANA,1,PANCHKULA *,1,Kalka,Q39078567,1,AMBALA (SC),601,,1.63611065408,0.04973509975,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:1
1,6,HARYANA,1,PANCHKULA *,2,Panchkula,Q25241424,1,AMBALA (SC),601,,1.17287184406,0.02088214358,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:2
1,6,HARYANA,2,AMBALA,3,Naraingarh,Q25208579,1,AMBALA (SC),601,,1.39603151571,0.06127254127,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:3
1,6,HARYANA,2,AMBALA,5,Ambala City,Q25205675,1,AMBALA (SC),601,,1.52456871765,0.02884680174,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:5
1,6,HARYANA,3,YAMUNANAGAR,7,Sadhaura,Q55377598,1,AMBALA (SC),601,,1.67791702281,0.05821866383,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:7
1,6,HARYANA,2,AMBALA,4,Ambala Cantonment,Q25208573,1,AMBALA (SC),601,,0.47394935466,0.01056186621,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:4
1,6,HARYANA,3,YAMUNANAGAR,8,Jagadhri,Q55377601,1,AMBALA (SC),601,,1.33080151854,0.04446977567,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:8
1,6,HARYANA,2,AMBALA,6,Mulana,Q25208583,1,AMBALA (SC),601,,1.72962909723,0.05276223261,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:6
2,6,HARYANA,4,KURUKSHETRA,12,Shahbad,Q55377605,2,KURUKSHETRA,602,,1.31824929358,0.04458671765,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:12
1,6,HARYANA,3,YAMUNANAGAR,9,Yamunanagar,Q55377602,1,AMBALA (SC),601,,0.6946574989,0.0118684533,country:in/state:hr,HR,country:in/state:hr/assembly-constituency:9
