OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,20,JHARKHAND,9,SAHIBGANJ,1,RAJMAHAL,Rajmahal,Q7286305,1,RAJMAHAL (ST),2001,Pre delimitation,1.73285758932,0.05054566535,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:1
1,20,JHARKHAND,9,SAHIBGANJ,2,BORIO (ST),Borio,Q4945161,1,RAJMAHAL (ST),2001,Pre delimitation,1.42161690864,0.07693144649,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:2
3,20,JHARKHAND,8,GODDA,18,MAHAGAMA,Mahagama,Q25202952,3,GODDA,2003,Pre delimitation,1.06937089008,0.03010190026,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:18
3,20,JHARKHAND,8,GODDA,17,GODDA,Godda,Q5576226,3,GODDA,2003,Pre delimitation,0.97404944719,0.04146187066,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:17
1,20,JHARKHAND,9,SAHIBGANJ,3,BARHAIT (ST),Barhait,Q4860642,1,RAJMAHAL (ST),2001,Pre delimitation,1.31768064111,0.04764917844,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:3
1,20,JHARKHAND,10,PAKAUR,4,LITIPARA (ST),Litipara,Q6648560,1,RAJMAHAL (ST),2001,Pre delimitation,1.58160064648,0.07403566559,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:4
3,20,JHARKHAND,8,GODDA,16,POREYAHAT,Poreyahat,Q7230062,3,GODDA,2003,Pre delimitation,1.1578784916,0.05451845554,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:16
5,20,JHARKHAND,5,KODARMA,19,KODARMA,Kodarma,Q6425229,5,KODARMA,2005,Pre delimitation,2.2734125395,0.10747282954,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:19
1,20,JHARKHAND,10,PAKAUR,5,PAKAUR,Pakaur,Q7125437,1,RAJMAHAL (ST),2001,Pre delimitation,0.76282096779,0.02117791885,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:5
5,20,JHARKHAND,6,GIRIDIH,28,DHANWAR,Dhanwar,Q5269051,5,KODARMA,2005,Pre delimitation,1.92109347145,0.1040423738,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:28
2,20,JHARKHAND,11,DUMKA,11,JAMA (ST),Jama,Q6127142,2,DUMKA (ST),2002,Pre delimitation,1.66768175441,0.07166978021,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:11
1,20,JHARKHAND,10,PAKAUR,6,MAHESHPUR (ST),Maheshpur,Q6733878,1,RAJMAHAL (ST),2001,Pre delimitation,1.27582762595,0.06691577396,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:6
3,20,JHARKHAND,7,DEOGHAR,15,DEOGHAR (SC),Deoghar,Q5259959,3,GODDA,2003,Pre delimitation,1.30617917973,0.06281336802,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:15
5,20,JHARKHAND,6,GIRIDIH,30,JAMUA (SC),Jamua,Q6148286,5,KODARMA,2005,Pre delimitation,1.43911148078,0.08319069942,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:30
13,20,JHARKHAND,2,PALAMU,79,HUSSAINABAD,Hussainabad,Q16917210,13,PALAMU (SC),2013,Pre delimitation,1.75956478417,0.06223463576,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:79
3,20,JHARKHAND,11,DUMKA,12,JARMUNDI,Jarmundi,Q6160388,3,GODDA,2003,Pre delimitation,0.93336288714,0.03345382096,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:12
14,20,JHARKHAND,4,HAZARIBAG,21,BARHI,Barhi,Q4860656,14,HAZARIBAGH,2014,Pre delimitation,2.12880995623,0.10526575674,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:21
2,20,JHARKHAND,11,DUMKA,7,SIKARIPARA (ST),Sikaripara,Q7513598,2,DUMKA (ST),2002,Pre delimitation,2.32012196138,0.1035338562,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:7
4,20,JHARKHAND,3,CHATRA,27,CHATRA (SC),Chatra,Q5087771,4,CHATRA,2004,Pre delimitation,2.37874930363,0.16291878101,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:27
13,20,JHARKHAND,1,GARHWA,77,BISHRAMPUR,Bishrampur,Q4918139,13,PALAMU (SC),2013,Pre delimitation,0.87347498231,0.03622153828,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:77
2,20,JHARKHAND,11,DUMKA,10,DUMKA (ST),Dumka,Q5313897,2,DUMKA (ST),2002,Pre delimitation,1.99793470046,0.08104347961,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:10
13,20,JHARKHAND,1,GARHWA,81,BHAWANATHPUR,Bhawanathpur,Q4901589,13,PALAMU (SC),2013,Pre delimitation,2.41643685202,0.13915030612,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:81
5,20,JHARKHAND,6,GIRIDIH,31,GANDEY,Gandey,Q5520642,5,KODARMA,2005,Pre delimitation,1.4218972333,0.08374818757,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:31
3,20,JHARKHAND,7,DEOGHAR,13,MADHUPUR,Madhupur,Q6727503,3,GODDA,2003,Pre delimitation,1.46391818743,0.07315655973,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:13
13,20,JHARKHAND,2,PALAMU,78,CHHATARPUR (SC),Chhatarpur,Q5094799,13,PALAMU (SC),2013,Pre delimitation,2.10751713118,0.11384114941,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:78
13,20,JHARKHAND,2,PALAMU,76,DALTONGANJ,Daltonganj,Q5211729,13,PALAMU (SC),2013,Pre delimitation,2.14992116569,0.1198160521,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:76
2,20,JHARKHAND,7,DEOGHAR,14,SARATH,Sarath,Q7423307,2,DUMKA (ST),2002,Pre delimitation,1.58813770162,0.05596446056,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:14
4,20,JHARKHAND,3,CHATRA,26,SIMARIA (SC),Simaria,Q16916549,4,CHATRA,2004,Pre delimitation,3.63376533327,0.16529805363,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:26
5,20,JHARKHAND,6,GIRIDIH,29,BAGODAR,Bagodar,Q4842061,5,KODARMA,2005,Pre delimitation,1.5175095811,0.07813633183,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:29
5,20,JHARKHAND,4,HAZARIBAG,20,BARKATHA,Barkatha,Q4860905,5,KODARMA,2005,Pre delimitation,1.80119709001,0.07131477238,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:20
4,20,JHARKHAND,2,PALAMU,75,PANKI,Panki,Q7131321,4,CHATRA,2004,Pre delimitation,1.82395553183,0.09449767855,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:75
6,20,JHARKHAND,6,GIRIDIH,32,GIRIDIH,Giridih,Q5564260,6,GIRIDIH,2006,Pre delimitation,1.36318067438,0.05423537356,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:32
13,20,JHARKHAND,1,GARHWA,80,GARHWA,Garhwa,Q5523252,13,PALAMU (SC),2013,Pre delimitation,2.30664502067,0.13270284465,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:80
14,20,JHARKHAND,4,HAZARIBAG,25,HAZARIBAGH,Hazaribagh,Q5687763,14,HAZARIBAGH,2014,Pre delimitation,1.50567825421,0.07028228989,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:25
6,20,JHARKHAND,6,GIRIDIH,33,DUMRI,Dumri,Q5313997,6,GIRIDIH,2006,Pre delimitation,1.13222343878,0.03919683405,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:33
2,20,JHARKHAND,20,JAMTARA,9,JAMTARA,Jamtara,Q6148278,2,DUMKA (ST),2002,Pre delimitation,1.49645593905,0.06449712712,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:9
2,20,JHARKHAND,20,JAMTARA,8,NALA,Nala,Q6960770,2,DUMKA (ST),2002,Pre delimitation,1.78268447748,0.08734140828,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:8
14,20,JHARKHAND,4,HAZARIBAG,24,MANDU,Mandu,Q6748218,14,HAZARIBAGH,2014,Pre delimitation,2.5773603641,0.12479573744,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:24
6,20,JHARKHAND,12,DHANBAD,42,TUNDI,Tundi,Q7852886,6,GIRIDIH,2006,Pre delimitation,1.63170819441,0.05770615114,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:42
4,20,JHARKHAND,19,LATEHAR,74,LATEHAR (SC),Latehar,Q6495434,4,CHATRA,2004,Pre delimitation,2.50284409126,0.16440899248,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:74
14,20,JHARKHAND,4,HAZARIBAG,22,BARKAGAON,Barkagaon,Q4860884,14,HAZARIBAGH,2014,Pre delimitation,2.05548126598,0.10448482211,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:22
6,20,JHARKHAND,13,BOKARO,34,GOMIA,Gomia,Q5581190,6,GIRIDIH,2006,Pre delimitation,2.05019116553,0.09572144556,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:34
7,20,JHARKHAND,12,DHANBAD,38,SINDRI,Sindri,Q7522338,7,DHANBAD,2007,Pre delimitation,1.23745694303,0.0486687229,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:38
7,20,JHARKHAND,12,DHANBAD,39,NIRSA,Nirsa,Q7040096,7,DHANBAD,2007,Pre delimitation,0.88706272111,0.03748301508,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:39
4,20,JHARKHAND,19,LATEHAR,73,MANIKA (ST),Manika,Q6749608,4,CHATRA,2004,Pre delimitation,2.78901934196,0.21484655684,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:73
7,20,JHARKHAND,12,DHANBAD,40,DHANBAD,Dhanbad,Q5268928,7,DHANBAD,2007,Pre delimitation,0.55165007212,0.01104985096,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:40
6,20,JHARKHAND,12,DHANBAD,43,BAGHMARA,Baghmara,Q4841896,6,GIRIDIH,2006,Pre delimitation,0.57662976168,0.01896335451,country:in/state:jh,JH,country:in/state:jh/assembly-constituency:43
