OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
0,1,JAMMU & KASHMIR,0,,0,,0,,0,Pre delimitation,25.391184317,7.95765534844,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:0
0,1,JAMMU & KASHMIR,0,,0,,0,,0,Pre delimitation,9.96900963047,3.2777235061,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:0
4,1,JAMMU & KASHMIR,7,LEH(LADAKH),47,NURBRA,4,LADAKH,0,Pre delimitation,5.44875371423,1.32171902431,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:47
4,1,JAMMU & KASHMIR,8,KARGIL,49,KARGIL,4,LADAKH,0,Pre delimitation,5.87652040602,0.92996783825,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:49
1,1,JAMMU & KASHMIR,1,KUPWARA,1,KARNAH,1,BARAMULLA,0,Pre delimitation,3.07876085072,0.1660167794,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:1
1,1,JAMMU & KASHMIR,1,KUPWARA,3,LOLAB,1,BARAMULLA,0,Pre delimitation,1.44028446935,0.081810634,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:3
1,1,JAMMU & KASHMIR,2,BARAMULA,9,GUREZ,1,BARAMULLA,0,Pre delimitation,2.06963314796,0.1010662718,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:9
1,1,JAMMU & KASHMIR,1,KUPWARA,2,KUPWARA,1,BARAMULLA,0,Pre delimitation,1.87537199742,0.02486825334,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:2
1,1,JAMMU & KASHMIR,2,BARAMULA,10,BANDIPORA,1,BARAMULLA,0,Pre delimitation,1.71617874101,0.09091835884,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:10
1,1,JAMMU & KASHMIR,1,KUPWARA,4,HANDWARA,1,BARAMULLA,0,Pre delimitation,2.10111467349,0.04707157186,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:4
1,1,JAMMU & KASHMIR,1,KUPWARA,5,LANGATE,1,BARAMULLA,0,Pre delimitation,1.55777038137,0.03740659892,country:in/state:jk,JK,country:in/state:jk/assembly-constituency:5
