OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,8,RAJASTHAN,1,GANGANAGAR,1,Sadulshahar,1,GANGANAGAR(SC),801,,3.3010250756,0.13847072724,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:1
1,8,RAJASTHAN,1,GANGANAGAR,3,Karanpur,1,GANGANAGAR(SC),801,,2.8240380242,0.16216626573,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:3
1,8,RAJASTHAN,1,GANGANAGAR,2,Ganganagar,1,GANGANAGAR(SC),801,,1.22162198426,0.03620758097,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:2
1,8,RAJASTHAN,2,HANUMANGARH *,7,Sangaria,1,GANGANAGAR(SC),801,,2.91736106373,0.12583417928,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:7
1,8,RAJASTHAN,2,HANUMANGARH *,8,Hanumangarh,1,GANGANAGAR(SC),801,,2.50675500368,0.12569394298,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:8
1,8,RAJASTHAN,1,GANGANAGAR,5,Raisinghnagar(SC),1,GANGANAGAR(SC),801,,3.39745997306,0.23215437121,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:5
1,8,RAJASTHAN,2,HANUMANGARH *,9,Pilibanga (SC),1,GANGANAGAR(SC),801,,3.97291255857,0.20417630466,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:9
1,8,RAJASTHAN,1,GANGANAGAR,4,Suratgarh,1,GANGANAGAR(SC),801,,3.07850680523,0.20962548794,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:4
3,8,RAJASTHAN,2,HANUMANGARH *,10,Nohar,3,CHURU,803,,4.1577279176,0.29101063333,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:10
2,8,RAJASTHAN,1,GANGANAGAR,6,Anupgarh (SC),2,BIKANER (SC),802,,2.43580901574,0.20793411352,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:6
3,8,RAJASTHAN,2,HANUMANGARH *,11,Bhadra,3,CHURU,803,,3.12878721524,0.18279107488,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:11
2,8,RAJASTHAN,3,BIKANER,16,Lunkaransar,2,BIKANER (SC),802,,5.06383494569,0.60128699381,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:16
2,8,RAJASTHAN,3,BIKANER,12,Khajuwala(SC),2,BIKANER (SC),802,,5.15744307707,0.73650696389,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:12
3,8,RAJASTHAN,4,CHURU,19,Sadulpur,3,CHURU,803,,2.65780115965,0.15655765258,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:19
3,8,RAJASTHAN,4,CHURU,20,Taranagar,3,CHURU,803,,3.216654613,0.25805495099,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:20
3,8,RAJASTHAN,4,CHURU,21,Sardarshahar,3,CHURU,803,,3.04211280569,0.35718634828,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:21
3,8,RAJASTHAN,4,CHURU,22,Churu,3,CHURU,803,,2.16166908054,0.14065507412,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:22
2,8,RAJASTHAN,3,BIKANER,15,Kolayat,2,BIKANER (SC),802,,6.11476259382,0.7904020193,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:15
4,8,RAJASTHAN,5,JHUNJHUNUN,25,Pilani (SC),4,JHUNJHUNU,804,,1.850635763,0.07870043828,country:in/state:rj,RJ,country:in/state:rj/assembly-constituency:25
