OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB,NAME_HI
2,14,MANIPUR,8,UKHRUL,45,Chingai,Chingai,Q48728012,2,OUTER MANIPUR,1402,Pre delimitation,2.04016572557,0.11125941867,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:45,
2,14,MANIPUR,1,SENAPATI,48,Mao,Mao,Q55587677,2,OUTER MANIPUR,1402,Pre delimitation,1.07356076023,0.02606974641,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:48,
2,14,MANIPUR,1,SENAPATI,49,Tadubi,Tadubi,Q55587678,2,OUTER MANIPUR,1402,Pre delimitation,1.96489753721,0.09400063897,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:49,
2,14,MANIPUR,1,SENAPATI,47,Karong,Karong,Q55587676,2,OUTER MANIPUR,1402,Pre delimitation,1.36299336554,0.07525155026,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:47,
2,14,MANIPUR,2,TAMENGLONG,52,Tamei,Tamei,Q28419650,2,OUTER MANIPUR,1402,Pre delimitation,3.73071993361,0.19410101708,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:52,
2,14,MANIPUR,8,UKHRUL,44,Ukhrul,Ukhrul,Q55587673,2,OUTER MANIPUR,1402,Pre delimitation,2.06375007972,0.09833786209,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:44,
2,14,MANIPUR,1,SENAPATI,46,Saikul,Saikul,Q55587674,2,OUTER MANIPUR,1402,Pre delimitation,3.06332529994,0.0625459394,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:46,
2,14,MANIPUR,1,SENAPATI,50,Kangpokpi,Kangpokpi,Q30601143,2,OUTER MANIPUR,1402,Pre delimitation,0.49071931895,0.01594507623,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:50,
2,14,MANIPUR,8,UKHRUL,43,Phungyar,Phungyar,Q55587672,2,OUTER MANIPUR,1402,Pre delimitation,2.14813186641,0.18954028989,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:43,
2,14,MANIPUR,2,TAMENGLONG,53,Tamenglong,Tamenglong,Q55587680,2,OUTER MANIPUR,1402,Pre delimitation,1.52613217055,0.08349193874,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:53,
1,14,MANIPUR,7,IMPHAL EAST *,1,Khundrakpam,Khundrakpam (Vidhan Sabha constituency),Q32212769,1,INNER MANIPUR,1401,Pre delimitation,0.95253587423,0.00829034969,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:1,
2,14,MANIPUR,1,SENAPATI,51,Saitu,Saitu,Q55587679,2,OUTER MANIPUR,1402,Pre delimitation,1.24597488974,0.02415051668,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:51,
1,14,MANIPUR,6,IMPHAL WEST,16,Sekmai,Sekmai,Q55587647,1,INNER MANIPUR,1401,Pre delimitation,0.39316456096,0.00588995964,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:16,
1,14,MANIPUR,7,IMPHAL EAST *,2,Heingang,Heingang (Vidhan Sabha constituency),Q32214326,1,INNER MANIPUR,1401,Pre delimitation,0.22202885592,0.0013419935,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:2,
1,14,MANIPUR,7,IMPHAL EAST *,8,Lamlai,Lamlai,Q55587641,1,INNER MANIPUR,1401,Pre delimitation,0.47465481982,0.00618825361,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:8,
1,14,MANIPUR,6,IMPHAL WEST,17,Lamsang,Lamsang,Q55587648,1,INNER MANIPUR,1401,Pre delimitation,0.23420190092,0.0019188884,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:17,
1,14,MANIPUR,7,IMPHAL EAST *,9,Thangmeiband,Thangmeiband,Q28179956,1,INNER MANIPUR,1401,Pre delimitation,0.16865311531,0.00177605023,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:9,
1,14,MANIPUR,7,IMPHAL EAST *,3,Khurai,Khurai,Q55587638,1,INNER MANIPUR,1401,Pre delimitation,0.19959455958,0.00139384181,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:3,
1,14,MANIPUR,7,IMPHAL EAST *,15,Wangkhei,Wangkhei,Q55587646,1,INNER MANIPUR,1401,Pre delimitation,0.16039181047,0.00128749711,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:15,
1,14,MANIPUR,7,IMPHAL EAST *,10,Uripok,Uripok,Q55587642,1,INNER MANIPUR,1401,Pre delimitation,0.17464799125,0.00099189897,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:10,
1,14,MANIPUR,6,IMPHAL WEST,19,Patsoi,Patsoi,Q55587650,1,INNER MANIPUR,1401,Pre delimitation,0.37054133546,0.00861464511,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:19,
1,14,MANIPUR,6,IMPHAL WEST,18,Konthoujam,Konthoujam,Q55587649,1,INNER MANIPUR,1401,Pre delimitation,0.52929248642,0.01017293748,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:18,
1,14,MANIPUR,7,IMPHAL EAST *,4,Khetrigao,Kshetrigao,Q55587639,1,INNER MANIPUR,1401,Pre delimitation,0.16611587654,0.00125493849,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:4,
1,14,MANIPUR,1,MANIPUR CENTRAL,7,Andro,Andro,Q48727225,1,INNER MANIPUR,1401,Pre delimitation,0.48912923378,0.00299325393,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:7,
1,14,MANIPUR,7,IMPHAL EAST *,14,Yaiskul,Yaiskul,Q55587645,1,INNER MANIPUR,1401,Pre delimitation,0.17342886403,0.00146225265,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:14,
1,14,MANIPUR,7,IMPHAL EAST *,12,Keisamthong,Keishamthong,Q28179944,1,INNER MANIPUR,1401,Pre delimitation,0.16412023693,0.00087574054,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:12,
2,14,MANIPUR,2,TAMENGLONG,54,Nungba,Nungba,Q55587681,2,OUTER MANIPUR,1402,Pre delimitation,2.13526825167,0.1126760453,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:54,
1,14,MANIPUR,7,IMPHAL EAST *,5,Thongju,Thongju,Q28179951,1,INNER MANIPUR,1401,Pre delimitation,0.17356741894,0.00144761021,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:5,
1,14,MANIPUR,7,IMPHAL EAST *,13,Singjamei,Singjamei,Q55587644,1,INNER MANIPUR,1401,Pre delimitation,0.20940120968,0.00163133626,country:in/state:mn,MN,country:in/state:mn/assembly-constituency:13,
