OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,toreconcile,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB,NAME_HI
2,16,TRIPURA,4,NORTH TRIPURA,54,KADAMTALA - KURTI,Kadamtala–Kurti,Q55739073,2,TRIPURA EAST(ST),1602,,0.40552140899,0.00725095817,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:54,
2,16,TRIPURA,4,NORTH TRIPURA,55,BAGBASSA,Bagbassa,Q55739074,2,TRIPURA EAST(ST),1602,,0.5003485005,0.00891890699,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:55,
2,16,TRIPURA,4,NORTH TRIPURA,56,DHARMANAGAR,Dharmanagar,Q55739075,2,TRIPURA EAST(ST),1602,,0.27235748946,0.00323347866,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:56,
2,16,TRIPURA,4,NORTH TRIPURA,53,KAILASAHAR,Kailashahar,Q55739072,2,TRIPURA EAST(ST),1602,,0.61112682046,0.00812332239,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:53,
2,16,TRIPURA,4,NORTH TRIPURA,57,JUBARAJNAGAR,Jubarajnagar,Q55739076,2,TRIPURA EAST(ST),1602,,0.43573259899,0.00857424801,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:57,
2,16,TRIPURA,4,NORTH TRIPURA,52,CHANDIPUR,Chandipur,Q55739071,2,TRIPURA EAST(ST),1602,,0.8340948768,0.01368249553,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:52,
2,16,TRIPURA,4,NORTH TRIPURA,58,PANISAGAR,Panisagar,Q55739077,2,TRIPURA EAST(ST),1602,,1.11485555866,0.02770344174,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:58,
2,16,TRIPURA,4,NORTH TRIPURA,59,PENCHARTHAL (ST),Pencharthal,Q55739079,2,TRIPURA EAST(ST),1602,,1.7517521109,0.03939931068,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:59,
2,16,TRIPURA,4,NORTH TRIPURA,51,FATIKROY (SC),Fatikroy,Q55739070,2,TRIPURA EAST(ST),1602,,0.6339679457,0.01067969807,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:51,
2,16,TRIPURA,4,NORTH TRIPURA,50,PABIACHHARA (SC),Pabiachara,Q55739069,2,TRIPURA EAST(ST),1602,,0.91357189326,0.01899920365,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:50,
2,16,TRIPURA,3,DHALAI  *,45,KAMALPUR,Kamalpur,Q55739064,2,TRIPURA EAST(ST),1602,,0.54687262473,0.00964480923,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:45,
2,16,TRIPURA,3,DHALAI  *,46,SURMA (SC),Surma,Q55739065,2,TRIPURA EAST(ST),1602,,0.85639752841,0.01837297956,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:46,
2,16,TRIPURA,1,WEST TRIPURA,26,ASHARAMBARI (ST),Asharambari,Q54449838,2,TRIPURA EAST(ST),1602,,0.8739115368,0.0249967132,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:26,
2,16,TRIPURA,3,DHALAI  *,48,KARAMCHHARA (ST),Karamchara,Q55739067,2,TRIPURA EAST(ST),1602,,0.82137272238,0.02351264815,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:48,
2,16,TRIPURA,4,NORTH TRIPURA,60,KANCHANPUR (ST),Kanchanpur,Q55739080,2,TRIPURA EAST(ST),1602,,1.1518315891,0.03602546999,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:60,
2,16,TRIPURA,1,WEST TRIPURA,25,KHOWAI,Khowai,Q54449833,2,TRIPURA EAST(ST),1602,,0.35959093317,0.00505436802,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:25,
1,16,TRIPURA,1,WEST TRIPURA,1,SIMNA (ST),Simna,Q48734859,1,TRIPURA WEST,1601,,0.77038187748,0.01744416406,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:1,
2,16,TRIPURA,1,WEST TRIPURA,24,RAMCHANDRAGHAT(ST),Ramchandraghat,Q54449831,2,TRIPURA EAST,1602,,0.59287091595,0.01410809309,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:24,
2,16,TRIPURA,3,DHALAI  *,47,AMBASSA (ST),Ambassa,Q55739066,2,TRIPURA EAST(ST),1602,,0.88310986154,0.03155952842,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:47,
2,16,TRIPURA,1,WEST TRIPURA,27,KALYANPUR-PRAMODENAGAR,Kalyanpur-Pramodenagar,Q54449847,2,TRIPURA EAST(ST),1602,,0.579111799,0.01315594044,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:27,
2,16,TRIPURA,3,DHALAI  *,49,CHHAWMANU (ST),Chawmanu,Q55739068,2,TRIPURA EAST(ST),1602,,1.09419626254,0.05225308423,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:49,
1,16,TRIPURA,1,WEST TRIPURA,2,MOHANPUR,Mohanpur,Q48734861,1,TRIPURA WEST,1601,,0.63526720425,0.00896464659,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:2,
1,16,TRIPURA,1,WEST TRIPURA,3,BAMUTIA (SC),Bamutia,Q48734895,1,TRIPURA WEST,1601,,0.46445776786,0.00686885439,country:in/state:tr,TR,country:in/state:tr/assembly-constituency:3,
